"","RC-ABX_-13","RC-ABX_-3","RC-ABX_0","RC-ABX_1","RC-ABX_11","RC-ABX_13","RC-ABX_2","RC-ABX_3","RC-ABX_4","RC-ABX_5","RC-ABX_6","RC-ABX_7","RC-ABX_8","WD-ABX_-13","WD-ABX_-3","WD-ABX_0","WD-ABX_1","WD-ABX_11","WD-ABX_13","WD-ABX_2","WD-ABX_3","WD-ABX_4","WD-ABX_5","WD-ABX_6","WD-ABX_7","WD-ABX_8"
"5f2f1477e1b97c1e2890599a0df38fdf",0,1.1304672221029e-05,0.000729419162342737,0.000261194029850746,9.27966593202645e-06,0,0.000236659585241867,0.0115636340274021,9.4658553076403e-06,0,0,0,0,0,0.0231825352653326,0.938954893104654,0.961259487424326,0.310247219658387,0.110638388624138,0.982700623813271,0.983624815054942,0.987143343865586,0.977979027590022,0.979506412600459,0.856873992497439,0.600731114319639
"94e30534f622e456a683abe4e60fc214",0.00106250393575008,0.0518488663081397,0.00624493496804213,0.00660594972832005,0.0204104852175995,0.00439852033391359,0.00995832828813376,0.340521308717936,0.680707702622332,0.580765267987269,0.203103346574791,0.213430636100379,0.0846110162428962,0.000931869407356131,0.0289423909849484,0.00055229423409979,0.000407034947610635,0.0812643502537381,0.145146027482905,0.000251161516849118,0.000226789477830028,0.000236419134226019,0.000448162148352924,0.000242446521969709,0.000876574460811026,0.000475828157798648
"7ca7ca8214441730c2437d1f53390cdb",0.0891822979467185,0.168894330311433,0.0801082623888515,0.090725872761182,0.117057553664166,0,0.0762989711684657,0.0500032032388881,0.000653171181161392,2.06677564210961e-05,0,0.0121838424311713,0.0451440435295045,0.189752591629072,0.261188393247786,0.0200560148684511,0.0171658080563877,0,0,0.00517719962913628,0.00465362716998897,0.00329007589098285,0.00444218522645973,0.00208318783760304,0.00140146887783494,0.00166454576141515
"4cc9a4b9aaa3ee9a5c14cc27551a6844",0,0,0.002863134834534,0.0191503647661628,7.42478690861572e-06,0,0.162179363998327,0.220330265622227,0.0392563812000825,0.0133991778548471,0,0.013029221122347,0.0264268937881954,0,4.32313606827972e-05,6.83823332969672e-05,0,0.322895891532307,0.449521956780679,4.75926072816689e-05,0,0,0,0,0,0.0760219192347349
"efccbf9af6f53b95d750539be7153a8c",0.00615299646990671,0.00150143725007997,0.000990804329818036,0.000921058387926761,0.0975734060915695,0.0820889749923362,0.000785611111832551,0,0.0271129849134811,0.0929051111542711,0.192591497420851,0.127727845348598,0.147949402342962,0.00697306772159345,0.0200420465913205,0.00297987581173919,0.00154706965893968,0.000151434236635085,0,0.00220085021708316,0.00170576819158599,0.00218816836956263,0.00256962978617405,0.00327829203214334,0.00123424133219266,0.000187908874883478
"d602d233e06c23a6b9a17bbeae1af215",0,0,0,0.00331761829928409,0,0,0.0531851265474855,0.0842597544462524,0.00031569605594122,0.000214482097248536,0,2.91385279901272e-05,5.55720213396562e-06,0,0,0,0,0.114866707448844,0.0996263118503699,7.94419993962408e-06,0.000405142479872805,1.02558091833446e-05,0.000198133011090594,0,0.0838592363764188,0.210405982415969
"d6118d3619a703d2d7ba830e5b061fe8",0,0,0,0,0,0,0,0.0215389448469498,0.140854405789262,0.208608923383787,0.30166108344876,0.0586447291533428,0.0146050280682712,0,0,0,0,0,0.00453275612503787,7.35979588832736e-06,0,0,1.07490762512597e-05,0,0,0
"77ed2d3561c74db8078363fa2496e5c7",0.000219559389654049,0.000260165052551152,0.0832114177851445,0.252304358220461,5.75381454305422e-05,0.000897794370042397,0.155609807447814,0.0132029363828161,0.00537074117892463,0.0027539015598917,0.000730230268035426,0.00022995078515603,0.00081188300593413,0.000794007249483881,0,4.01929260450161e-05,0,0,0,0,0,0,0,0,0,0
"18673193aa6bf30c6a1e71ac504e04df",0,6.84629215664367e-05,0.118238001207443,0.15269200570506,0.000114788398842381,0.000293900111395746,0.0799200980699248,0.00662337444716048,0.000810973116648859,0.000744772742751021,0.000456746628887269,1.04854776135053e-05,5.40665791303005e-05,0,0,0,0,0,0,0,0,0,0,0.000115362614881914,0,0
"eba523a4a554db4ad7e9dcff257bf1c8",2.77865665806665e-05,0.000108040871229322,0.170213183616078,0.143361934464724,8.01876986130498e-05,0.000168808648522641,0.128002405049949,0.0544416194211694,0.00157473267040129,0.000713475613848571,0.00091867080099111,0,0,0,0,0.000458438199292626,0.00158363189591084,1.88937697794152e-05,6.03791812583021e-05,0.00118625244033991,0.000469495381944219,0.000155517648911145,6.0959784580832e-05,0.00069254753956555,0.000327663467946005,0.000288999644982681
"795b6ba45f502a00b24b212278991c63",0.0340246834529326,0.0304679941159591,0.00729316877569939,0.00805111176474812,0.0516720721204779,0.114035825655842,0.0121818423470959,0.0117682613861002,0.000778116047648878,0.000794017500420118,0.00319977369773352,0.0225933036278626,0.0782644945548814,0.0477837045992659,0.0018372840307561,8.93593468962314e-05,0,0,0,9.98835858177837e-06,0,0,2.99589211268179e-05,3.75763269140442e-05,5.82106059724082e-06,0
"9cf5cb71450a2aa080ff905f89b0a624",0.060265040821552,0.0261735324864443,0.000323774525849082,0.000163198694410445,0,0,0.000112556003300049,0,0,0,0,0,0,0.052750017969589,0.0169425522406204,1.3462056232932e-05,0,0,0,0,0,0,0,0,0,7.1990785179497e-05
"f74112b56922a99ef89d2cef314854ec",0,0.00846351376306212,0.0131329301998691,0.00858385492769005,0.079564612648522,0,0.0052383661261166,0.0015527950310559,0,0,0,0.000172913154368219,0.0650820757877224,0,0.079771920602712,0.00502456541722072,0.00278559969708219,3.35465938226344e-05,0,0.000560777827106948,0.000419103847213133,0.000273666402237454,0.000404863423915165,0,0.000104193611366797,0.000428741622139601
"36173253c63ad49abc12361a0b3304eb",0.0189181151204144,0.0266413362300218,0.00962694098823728,0.00916986007930946,0.00989705027146482,0,0.0123073154570305,0.00467755540219308,0,0,0,0.00182447310474992,0.00648391397178894,0.044993715895476,0.0424640988590805,0.00352628932343795,0.00242261820457044,0,0,0.000489031651835663,0.000416953108423515,0.000121279599180866,0.000532929951611633,0.000113897532898082,0,0
"2ff036a7340b08f5d1d505012ad9c6ea",0,0,0.000269138755980861,0.0039780292942743,0,0,0.0577677526777511,0.0733527715043865,0.0141661837911989,0.00139180090741458,0,0.000240010667140762,0,0,0,0,0,0.0954905884098238,0.167113311074796,0,0,0,0,0,0,0.0264801953760318
"320dfd16200daaf2b0503975d4e68fd5",0.00806058648307526,0.0112777690306318,0.0727578029449305,0.0522379988259562,0.0362033826725701,0.0199809575123939,0.0354364076283125,0.0327202632849675,0.0221001480110142,0.00596379401149011,0.0153399584355006,0.0235121158402088,0.0404910360554394,0.00572028437274558,0.00542570878456316,0.00070325407644054,7.09660507103122e-05,0,0,0,0,1.3917331053542e-05,2.11904812358289e-05,0,9.71670330283986e-05,2.66632537701841e-05
"514e31acd7be571b6d4210099e6dbbf6",0.0403525379212819,0.0136504275906446,0.0153331798253405,0.0259125136137412,0,0,0.023326609457125,0.000436448301020853,0.000431197409523555,0.000368486445925529,0.000123492674978423,0,0,0.0116383983873647,0.00146478755918422,0.00281720872343576,0.000162987799199031,0,0,0.000176833838085292,0.000161965956775409,0.000123041729805987,0.000145927685095777,0.000275361460170759,8.41945144569298e-05,6.13399089715751e-06
"391821255f31ef94686927f4fba6fbc3",0.0233898411891267,0.0196674634174933,0.000120687604900173,0,0.0144058399687855,0,0.000156290700703308,0.00191703090253815,0,0,0,0.0475144235680209,0.0177846243515205,0.0193940640049532,0.00514165209617891,0,0,0,0,0,0,0,0,0,0.00120790030192423,0.000106653015080736
"f74040aa66b451ec18a33cb30ec79371",0,0.00246407033033046,0.000652699273151558,0,0.0556173216806937,8.13385064623443e-06,0.000102516449346494,0.00132275132275132,0,6.7283884164065e-06,0,0.0603810627358655,0.0509119645716127,0,0.0368365118562372,1.81249169274641e-06,4.05520289773213e-05,0,0,0,7.1642218759515e-06,0,0,0,0.000337936931960859,7.36401479736745e-05
"83a4aa4f6ec422145d5f32d8c92363cb",0.0412887579695529,0.0121021812530475,0.00012208450844141,0,0,0,0,0,0,0,0,0,0,0.0710667115138862,0,0,0,0,0,0,0,0,0,0,0,0
"33a7487cf2e9ba2883f7de82fa0e83ce",0.00563354145431921,0.00533949244172058,0.00508528742796623,9.95613787380828e-05,0.0340116363276423,0.031349181258209,2.1779248440813e-05,0,3.018525330344e-05,0.00307997085024414,0.0509194663556134,0.0322564142028588,0.0217219117816052,0.0022354839774074,0,0,0,1.3625324027237e-05,0,0,0,0,5.37453812562983e-06,0,0,0
"e8aae590cf49eb3c80ad7e08f2d3c3c4",0.00626738712008144,0.0310810550109837,0.0156127831004583,0.00662578709263389,0.00568023273072699,0,0.0316608564561585,0.00794488420233255,0,0,0,0,0,0.00588026616516426,0.0372837952557725,0.00516473136348525,0.00120578350975719,0,0,0.000198969470358364,0.00020484322639253,0.000239076676546602,0.000225712702746671,0,0.000500038313226477,0.000226872284704387
"4b83c4579601a3e7125fe207b4c1e2d8",0.0121016809514118,0.00111616270130918,0.000626734098530434,3.56851549755302e-05,0.000899469964638272,0.00242546627563525,0.000927016248028303,0.00117550468585367,0,7.15320374112556e-06,0,5.9206973862506e-05,0.000189186359832886,0.00319760027179102,0.0458510829994763,0.00202022832367667,0.00206813178739921,3.06569790612833e-05,0,0.000952853311529737,0.00127457370703869,0.00112527734570335,0.00201971086021024,0.00156496734175374,0.000707701186134261,0.000285064974818306
"1325f6a4fea239dbf1bf1169650510da",0.0103406715898231,0.00644052588656853,2.98284132751109e-05,0,0,0,0,0,0,0,0,0,0,0.0248394412154725,0.0256353736493996,0,0,0,0,0,0,0,0,0,0,0
"ff9152b5cd605a9ef38ebf87f275d4e5",0,0.00712937961585324,0,0,0.00134664893353677,0,0,0,0.0450714085238932,0.0411026065187888,0,0.0196394597334562,0.0120622587261435,0,0.000532546470262279,0,0,0,0,0,0,0,0,0,0,0
"3e741fc097143bb6782af5233cb7af98",0.0341219495803451,0.0190931846663468,6.23654980290866e-05,0,0.00320153174815211,0,0,0,0,0,0,0,0,0.0240038565961602,0.00102638667033338,0.000786753010679391,0,0,0,0,0,0,0,0,0,4.53275314093129e-05
"48ceb9d423d095a3e48cdb3da1da8823",0.00952473451779102,0.00108125861431948,0.00160237056335805,0.00140413036986206,0.000329343026616101,0.00292494523153025,0.000537613646322179,0,1.40031507089095e-05,0,0,3.27585233313761e-05,0.000137854976564654,0.00400868456592381,0.0344067838459121,0.00117356826925768,0.00117917299601961,4.0936501188733e-05,0,0.000817380620276583,0.000604559550601123,0.000639381257907959,0.00132215481093086,0.000823621817136739,0.000219425061479554,3.88486090153309e-05
"ce1e920331fedb7304e396d2f7edbadc",0,0.019601549108067,0.000680337804526089,0.000330435942890909,0.0349490656985142,0,0.000496421575617219,0,0,0,0,0.0180968602426051,0.0457965951804003,0,0.00724093977198286,0,7.24143374595023e-06,0,0,0,0,0,0,0,0.00020883992677061,0.000310943106528313
"7f0590a88919ccdfc07775f5d53fbda3",0.020894534916985,0.00656398952455645,0.000135386264226196,0,0.00317019251353648,0.013218826058661,0,0,0.000557223879067185,0.00213585748527842,0.0221980061123309,0.0288734701443674,0.0171635668636283,0.0103209004746608,0,0,0,0,0,0,0,0,0,0,7.27632574655102e-06,0
"14ac4eaad5b4e2ff3c071832e0fd4229",0.00791436900194724,0.00624093911137899,0.0018047020971264,0.00123626277391761,0.0316796376587442,0.00938800129689587,0.00151832583186077,0.000269442932794586,1.88791196936189e-05,0,0,4.11737449235681e-05,0.00119153877648121,0.0160758132805722,0.0244189384320306,0.00173099160569799,0.00152044622983885,0,0,0.000187205139428939,7.18940806409787e-05,0.000111142301881811,9.57637854507509e-05,0,0.000107536371409905,5.32717919163384e-05
"3936cc515320e9f29d81ffeaa92718e8",0.00610569830961396,0.00250575304027469,3.63329076468087e-05,0,0.0131081293780838,0.00317575057426062,7.84452158224e-06,0.000115021854152289,0,3.510249929795e-05,0.00597362069185077,0.0117313554798822,0.0102748683741405,0.0102750470411631,0.0193774405344037,6.67253372623543e-05,3.64179321898103e-05,0,0,1.71728570727638e-05,0,0,0,0,2.91053029862041e-06,0
"91efd846a2b91c6443ffd8f1db085d15",3.51559164896315e-05,9.45492365149151e-06,0,0,0.0318085433343,0.022040368498258,0,0,0,0,0.00755244942536427,0.0252446367105113,0.0222666443750844,9.81429513425649e-05,0.000182290304611763,0,0,0,0,0,0,0,0,0,5.82106059724082e-06,0
"fabd715246f7d709dfed72d6d7ad5ff7",0.00684577027623577,0.0274705174958683,0.0436183286627227,0.0134300694872581,3.11692937928578e-05,0,0.00782597711090432,0.00742081955911707,0,0,0,0,0,1.84018033767309e-05,0.00386368735895967,0.000105922461052695,0.000339218548405118,0,0,2.87762727012098e-05,1.95944719782948e-05,0,0,0,6.89821681095437e-06,0.000113021147302307
"e213aa885752cdf404bff53bd8317162",0,7.11704007996706e-06,0.0336006666045083,0.0150868553729978,0,5.76855616092132e-05,0.00920549992230002,0.0035054982178514,0.000105946467725203,0.00028686164370636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f13aade0a534cc6ecebc973a4ea5cf7c",0.0167154163519379,0.0125723308059004,0.000114465387739533,0,0,0,0,0,0,0,0,0,0,0.0134139723223621,0.00153791821964133,6.24857986821177e-05,0,0,0,0,0,0,0,0,0,0
"11f3a1475059228d7057f261aaa9a321",0.0129715475073696,0.00395821873225612,0.000294372209698635,2.008738010345e-05,0.021993516934212,0.0363244910537732,3.92226079112e-06,0,0,0,0,0.000688999762413875,0.00270288848938242,0.0064456522374184,0.000112723215033882,0,0,0,0,0,0,0,0,0,0,0
"a444878900cebfe102f257c3ed3d3296",0.0205598184076072,0.00933460554809636,4.15641824325316e-05,0,0,0,0,0,0,0,0,0,0,0.0220763294800085,0.00100420138603002,6.81663258350375e-05,0,0,0,0,0,0,0,0,0,0
"46289e2c7768d63cf3403101a2cd0ce7",0.00878790552403133,0.0114656198183329,6.64310584059225e-05,5.59701492537313e-05,0,0,1.70203109043459e-05,0,0,0,0,0,0,0.00406909452748858,0.0143009458320131,0,0,0,0,0,0,0,0,0,0,0
"1a654dcccea96c2b7be91eae49088f3d",0.0199566610592542,0.010907413810975,2.52696269192282e-06,0,0,0,0,0,0,0,0,0,0,0.0213729905549289,8.01005349196492e-05,0,0,0,0,0,0,0,0,0,0,2.39969283931657e-05
"64403407f0c77290b58e93d8a55323bc",0,0,0.0857506630554123,0.0451328914971341,0,0,0.0316836302350879,0.0145379626403639,0.000282998944033791,0.000437345247066423,0,3.74481343339475e-05,0.000216266316521202,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3147edad1f84fae8bb6fd6f5e7a97b9",0.0168354491121609,0.0135977986161417,0.00830264814276032,0.00775053751129952,0,0,0.0141162296021214,0.00233877770109654,0,0,0,0,0,0.00787715902578116,0,0,0,0,0,0,0,0,0,0,0,0
"669299212a42d345732463ba7adac099",0,0,0,0,0,0,4.63231036479444e-05,0,0,0,0,0,0,0,0,0,0,0.0299354201863117,0,0,0,0,0,0,0.0159265570886702,0.0152212050182065
"6c3e2f4f058197791d83ece0b4be54f4",0.00013495978680788,5.63664604277312e-05,0,0,0.0011510306797095,0.00094631298170389,0,0,0.00217930899261152,0.0198781458433837,0.0298107903604551,0.0128419344456056,0.0109868903318443,1.51434845157871e-05,8.54289413332932e-05,0,0,0,0.00732810442548806,0,0,0,6.71817265703729e-06,0,0,0
"9109d7b1b2ad1bcce38a2d4b01054ae3",0.012753315313132,0.00461720734108877,2.78724517488741e-05,0,0.00647484730388927,0.0184154397305499,0,0,0,0,0,0.000952938073970912,0.00180875735854017,0.00677660714570674,0.00227601324081844,0,0,0,0,0,0,0,0,0,0,0
"99a8acc01aa831345f2bb5d3a1bb9771",0.00591084066845045,0.00419953948697893,4.56202864440328e-05,0,0,0,0,0,0,0,0,0,0,0.00595656946509943,0.00801217964608679,0,0,0,0,0,0,0,0,0,0,0
