KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K03543,54.46729019,-2.816583947,0.807243608,-3.489137502,0.000484582,0.01664681
K14623,64.84921071,-2.988533252,0.392751825,-7.609215438,2.76E-14,1.13E-10
K18831,207.0178633,-2.079649522,0.360424195,-5.770005325,7.93E-09,6.48E-06
K20968,98.09182455,-2.139111405,0.622896744,-3.434134832,0.000594448,0.018985197
K21498,79.0578441,-2.194717743,0.560453849,-3.915965153,9.00E-05,0.005937046
K21575,74.25367772,-2.917124863,0.764476153,-3.815848085,0.000135716,0.007705652
