KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00004,77.76890922,-6.532874084,1.084822841,-6.02206539,1.72E-09,6.79E-08
K00009,167.6593868,-2.426439301,0.408036645,-5.946621053,2.74E-09,1.04E-07
K00020,169.1346173,-2.270895251,0.350596341,-6.477236027,9.34E-11,4.80E-09
K00105,104.2815686,-5.535424668,1.086072136,-5.096737578,3.46E-07,7.62E-06
K00158,128.2167402,-2.124842137,0.41851168,-5.077139392,3.83E-07,8.41E-06
K00226,102.7233757,-2.472691208,0.40369342,-6.12517094,9.06E-10,3.61E-08
K00230,86.05545917,-2.576271217,0.453700538,-5.678351692,1.36E-08,4.25E-07
K00298,170.7835262,-5.675631057,0.750761343,-7.559833912,4.04E-14,6.30E-12
K00627,165.1217026,-2.891616458,0.427176153,-6.769142979,1.30E-11,8.29E-10
K00687,109.9071805,-7.562548489,1.072923828,-7.048541839,1.81E-12,1.68E-10
K00782,131.086318,-2.23229755,0.394037293,-5.665193592,1.47E-08,4.52E-07
K00917,321.5687725,-4.26117176,0.438032021,-9.727991469,2.29E-22,1.12E-19
K01008,60.88086486,-2.556439302,0.801127203,-3.191052922,0.001417553,0.007908276
K01181,121.7399286,2.263640898,0.721624167,3.136869581,0.001707621,0.009274352
K01218,111.2981605,2.071416354,0.673500545,3.075597148,0.002100815,0.010923677
K01261,143.1626386,-7.591666711,1.078199363,-7.041060285,1.91E-12,1.73E-10
K01361,189.9627571,-6.464848157,0.913407797,-7.077723857,1.47E-12,1.51E-10
K01464,50.14429053,-2.066234801,0.653401403,-3.162274814,0.001565418,0.008585612
K01531,134.8810032,-2.207207834,0.534526472,-4.129276936,3.64E-05,0.000438596
K01635,366.5237363,-3.7332446,0.415072844,-8.994191388,2.38E-19,9.29E-17
K01727,59.99196136,4.008864558,1.257081218,3.189025895,0.001427531,0.007952223
K01758,117.6543903,-7.340255006,1.097081738,-6.690709314,2.22E-11,1.36E-09
K01819,570.5787458,-6.183653938,0.543142925,-11.38494796,4.97E-30,6.47E-27
K01897,78.92820285,2.404575277,0.296264246,8.116319488,4.81E-16,1.17E-13
K01911,126.2359694,-2.561616753,0.476037745,-5.381121097,7.40E-08,1.98E-06
K01958,135.3168817,-3.226664087,0.551994558,-5.845463581,5.05E-09,1.79E-07
K02000,118.6213566,-3.944604448,0.548282473,-7.194474826,6.27E-13,7.65E-11
K02001,121.2552493,-3.99091894,0.558626052,-7.144169032,9.05E-13,9.82E-11
K02002,123.0568672,-3.639744453,0.522082378,-6.971590326,3.13E-12,2.68E-10
K02057,125.2964469,-2.032501249,0.369109826,-5.506494565,3.66E-08,1.03E-06
K02488,61.88558259,-2.472092408,0.79192356,-3.121630081,0.001798528,0.00960773
K02798,155.9395776,-3.514203147,0.495860127,-7.087085556,1.37E-12,1.45E-10
K03322,513.3100883,-2.086516354,0.340078152,-6.135402526,8.49E-10,3.42E-08
K03366,88.04486518,-2.407210885,0.389863208,-6.174501305,6.64E-10,2.88E-08
K03486,164.1695725,-2.733485817,0.360351597,-7.585607606,3.31E-14,5.38E-12
K03548,107.9442237,-7.264857622,1.088512936,-6.674112346,2.49E-11,1.49E-09
K03693,137.2725998,-3.132106307,0.488406013,-6.412915123,1.43E-10,6.80E-09
K03713,154.8107998,-5.467445415,0.8036623,-6.803162738,1.02E-11,7.14E-10
K03731,96.45741348,-7.594064331,1.090929152,-6.961097624,3.38E-12,2.75E-10
K03777,409.3283631,-9.664896895,1.087381588,-8.888229302,6.21E-19,2.20E-16
K03810,121.309971,-6.748748249,1.08903272,-6.197011462,5.75E-10,2.52E-08
K04027,111.4614557,-3.025996447,0.856872124,-3.531444612,0.000413296,0.003016678
K04028,76.04800246,-2.975774735,0.85478835,-3.48130006,0.000498986,0.00345486
K04029,61.05623269,-2.860984589,0.873799321,-3.274189532,0.001059655,0.00633664
K04031,69.80723018,-2.937835426,0.862127459,-3.407657875,0.00065523,0.004248185
K04063,346.5868561,-7.8179776,1.06994225,-7.306915488,2.73E-13,3.56E-11
K04086,184.2973482,-3.014742238,0.409218405,-7.367073915,1.74E-13,2.43E-11
K05362,125.0394192,-7.374150241,1.096605753,-6.724522665,1.76E-11,1.09E-09
K05878,165.7715152,-2.221935812,0.388982517,-5.712173977,1.12E-08,3.60E-07
K05879,167.9922992,-2.572281321,0.389010015,-6.612378139,3.78E-11,2.20E-09
K05881,149.8890185,-3.161561797,0.495224093,-6.384103362,1.72E-10,8.11E-09
K06123,67.72649932,-6.949170016,1.089736508,-6.37692687,1.81E-10,8.40E-09
K06181,85.54045091,-7.130070735,1.149328685,-6.203682921,5.52E-10,2.45E-08
K06191,122.541909,-2.280684418,0.449883454,-5.069500552,3.99E-07,8.70E-06
K06211,105.8456028,-7.692086281,1.08741736,-7.073720322,1.51E-12,1.51E-10
K06929,134.5080055,-5.800603714,0.920929694,-6.298639032,3.00E-10,1.38E-08
K07032,108.794732,-2.831905047,0.503502589,-5.624410104,1.86E-08,5.51E-07
K07141,55.79636859,-2.077742368,0.712063737,-2.917916276,0.00352379,0.016400951
K07146,100.2257909,-6.270452137,1.103447451,-5.682601495,1.33E-08,4.18E-07
K07467,326.2506019,-3.289992416,0.295465079,-11.13496195,8.48E-29,8.28E-26
K07498,1392.226053,-11.34799754,1.085805058,-10.45122921,1.45E-25,9.41E-23
K07793,71.00488279,-2.798568024,0.80128883,-3.492583348,0.000478372,0.003335792
K07794,60.97547123,-2.778603458,0.789808265,-3.518073411,0.000434692,0.003120354
