KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,281.8378753,-0.071624504,0.144493558,-0.495693408,0.620110739,0.657472653
K00004,77.76890922,1.91059721,0.372736494,5.125865695,2.96E-07,1.01E-06
K00005,44.3587501,2.45378209,0.913317326,2.686669812,0.007216825,0.012052751
K00008,27.85812423,-5.451228873,1.037089031,-5.256278596,1.47E-07,5.25E-07
K00009,167.6593868,1.941251017,0.356853721,5.439906896,5.33E-08,2.06E-07
K00010,90.00188981,2.074326936,0.693348723,2.991751291,0.002773821,0.004945432
K00012,278.9761912,-2.0780755,0.939898279,-2.210957872,0.027038755,0.040981557
K00013,243.0363289,-1.11139966,0.304219616,-3.653280729,0.000258911,0.000535882
K00014,363.6416987,-0.48692376,0.136473006,-3.56791263,0.000359836,0.000727729
K00016,482.6746382,1.0766515,0.200066936,5.381456447,7.39E-08,2.78E-07
K00018,108.9735907,-2.374750116,0.821764602,-2.889817972,0.00385465,0.006710557
K00019,0.977084227,4.502860876,4.22290492,1.066294639,0.286290472,0.330147736
K00020,169.1346173,1.855305808,0.299955195,6.185276465,6.20E-10,3.35E-09
K00024,113.7680176,-4.065631182,1.122991229,-3.620358802,0.000294195,0.000602469
K00027,173.3520089,-0.838251766,0.688909431,-1.216780796,0.223687628,0.276128214
K00029,163.0800343,-0.087122879,0.292693631,-0.297658951,0.765963476,0.791904476
K00030,19.05372971,-7.889454201,1.196072834,-6.596131922,4.22E-11,2.84E-10
K00031,207.7975769,-0.377147235,0.280077214,-1.346583073,0.178114549,0.227684164
K00033,338.0041882,1.633247018,0.3042302,5.368457895,7.94E-08,2.98E-07
K00034,27.40060465,8.769917634,2.3537306,3.725964915,0.000194569,0.000408536
K00036,190.3132846,1.409740864,0.311569687,4.524640627,6.05E-06,1.65E-05
K00038,2.851466893,-4.766012061,2.378412581,-2.003862618,0.045084779,0.065313481
K00041,74.27084354,-1.743863121,0.744064538,-2.343698742,0.019093587,0.029886573
K00042,4.294569161,-2.266408185,0.966516679,-2.34492403,0.019030957,0.029800015
K00045,6.419088747,-3.853614879,0.881668613,-4.370820082,1.24E-05,3.20E-05
K00046,141.9321613,-0.283422088,0.818941993,-0.346083227,0.729280169,0.758578272
K00048,46.49361852,-0.638658793,1.02027736,-0.625965858,0.531337336,0.571852335
K00052,252.4125035,-0.795763104,0.306944952,-2.592527096,0.009527368,0.015660635
K00053,281.2246743,-1.039020146,0.292791857,-3.54866476,0.00038719,0.000780717
K00054,118.7122126,2.237538446,0.399755968,5.597260886,2.18E-08,8.90E-08
K00057,358.1829767,-0.469518535,0.130012235,-3.611341163,0.000304618,0.000622873
K00058,170.1330341,-1.84906021,0.813110368,-2.274058089,0.022962494,0.035144028
K00059,518.7298562,-1.209105579,0.201041824,-6.014199213,1.81E-09,8.96E-09
K00060,28.31689995,-22.72580716,1.681562642,-13.51469556,NA,NA
K00065,31.13964727,-0.896830659,0.964844032,-0.929508427,0.35262566,0.393406307
K00067,494.8586866,-0.638239721,0.132491385,-4.817216761,1.46E-06,4.39E-06
K00068,37.67662251,3.207766455,0.970470862,3.305371218,0.000948507,0.001803405
K00073,41.30759656,3.795130748,1.014240138,3.741846339,0.000182673,0.000386351
K00074,55.51797617,-2.576856647,0.864418888,-2.981027696,0.002872828,0.005104041
K00075,403.6215438,-0.380744125,0.206129916,-1.847107549,0.064731555,0.090423976
K00076,26.63231144,-8.412404177,1.086646468,-7.741620136,9.82E-15,1.45E-13
K00077,414.4970276,1.270715881,0.128069455,9.922083939,3.34E-23,1.76E-21
K00078,56.68948534,1.593714312,0.78818988,2.021992863,0.043177089,0.062721667
K00087,10.68803099,-6.931629984,1.252774066,-5.533024805,3.15E-08,1.26E-07
K00088,428.3365772,-0.395269204,0.09842456,-4.015961077,5.92E-05,0.000137366
K00090,1.136077567,4.720815824,4.221776888,1.1182059,0.263479065,0.309370999
K00091,100.5347059,1.313349385,0.430998375,3.047225837,0.002309641,0.004161654
K00096,16.81642648,-7.467739139,1.264173905,-5.907208737,3.48E-09,1.64E-08
K00097,90.31343648,-3.941736979,0.530746349,-7.426781154,1.11E-13,1.31E-12
K00098,4.427504057,-6.799540915,1.280414074,-5.310423443,1.09E-07,3.99E-07
K00099,239.172832,-4.017767722,0.66664908,-6.026810572,1.67E-09,8.40E-09
K00100,46.43421632,5.75410609,1.179687956,4.877650959,1.07E-06,3.32E-06
K00104,57.05777809,-2.147151973,1.008656371,-2.12872494,0.033277024,0.049568011
K00105,104.2815686,3.141131778,0.405946199,7.737803161,1.01E-14,1.48E-13
K00111,251.9843233,0.13250435,0.143563865,0.922964493,0.356025709,0.396257269
K00112,50.93320008,-8.739696068,1.029783931,-8.486922166,2.12E-17,5.36E-16
K00113,48.17271909,-8.537078451,1.031183274,-8.278914784,1.24E-16,2.69E-15
K00116,1.568969989,5.186225173,4.219868686,1.229001554,0.219071223,0.271915885
K00121,2.526971305,5.873866382,4.006124679,1.466221561,0.142587936,0.185716104
K00123,28.38083195,8.338511856,1.754981166,4.751339798,2.02E-06,5.97E-06
K00124,12.10527124,-8.135230512,1.221385483,-6.66065761,2.73E-11,1.92E-10
K00125,15.42093377,-8.17977127,1.279920637,-6.390842553,1.65E-10,9.98E-10
K00127,1.218951391,-3.811982413,1.664673618,-2.28992781,0.022025502,0.033888594
K00132,44.24578452,2.123940191,0.941069948,2.256941895,0.024011706,0.036639483
K00133,371.851776,-0.433180355,0.124611545,-3.476245772,0.000508486,0.001007308
K00134,585.0390124,0.310057538,0.063094814,4.91415253,8.92E-07,2.80E-06
K00138,1.660610385,5.268105654,4.219592036,1.248486965,0.211852779,0.264490647
K00140,35.99349269,2.747752624,0.724260646,3.793872603,0.000148316,0.00031928
K00145,311.3997082,-1.047972784,0.275084886,-3.809634176,0.000139173,0.000301405
K00147,254.6958652,0.342080366,0.165976816,2.061012949,0.039301805,0.057654939
K00150,2.308256996,-0.41865591,1.32187894,-0.316712747,0.751461576,0.779059247
K00154,1.19313467,4.791188968,4.221447505,1.134963531,0.256390599,0.303679424
K00156,23.00884475,-21.92738852,1.734809612,-12.63965127,NA,NA
K00158,128.2167402,1.671662736,0.367595227,4.547563768,5.43E-06,1.49E-05
K00161,5.12760708,-0.357564031,0.787373438,-0.454122547,0.649740626,0.683716191
K00162,3.537185317,-1.353107584,1.429009068,-0.946885232,0.343697264,0.384990184
K00163,1.160043127,4.750562887,4.221635698,1.125289633,0.260466321,0.307053789
K00164,18.18907752,2.238183457,2.041530284,1.096326356,NA,NA
K00169,38.89054841,-9.29370895,1.273993083,-7.294944591,2.99E-13,3.14E-12
K00170,26.27590319,-8.745755466,1.21515174,-7.197253792,6.14E-13,5.99E-12
K00171,28.45572368,-8.929757258,1.217639055,-7.333665276,2.24E-13,2.45E-12
K00172,41.69400774,-9.452657366,1.267838417,-7.455727194,8.94E-14,1.07E-12
K00174,230.2057776,-7.561398228,0.881044723,-8.582309193,9.30E-18,2.42E-16
K00175,205.3729959,-10.97283257,1.340169195,-8.187647211,2.66E-16,5.28E-15
K00176,139.5555201,-10.71896515,1.162065989,-9.224058913,2.86E-20,1.05E-18
K00177,112.7466033,-6.805214337,0.859196919,-7.920436149,2.37E-15,4.04E-14
K00179,106.8762731,-6.855919549,0.923833932,-7.421160136,1.16E-13,1.36E-12
K00180,113.8165705,-7.214887972,0.930539123,-7.753449368,8.94E-15,1.33E-13
K00184,3.649667649,-5.669585294,1.222854385,-4.636353571,3.55E-06,1.00E-05
K00185,2.458944344,-5.082481911,1.293046528,-3.930625698,8.47E-05,0.00019028
K00194,10.6726249,-7.515810353,1.277141039,-5.88487107,3.98E-09,1.84E-08
K00196,4.165475339,-6.321279013,1.386998441,-4.557524239,5.18E-06,1.43E-05
K00197,10.8693906,-7.564573484,1.307717373,-5.784562963,7.27E-09,3.18E-08
K00198,19.046322,-8.359466698,1.315351267,-6.355311245,2.08E-10,1.24E-09
K00208,213.8857356,1.04675553,0.280640138,3.729885317,0.000191567,0.000402855
K00209,3.330640295,-1.336276011,2.239780449,-0.596610267,0.550767615,0.590419398
K00215,366.3912001,-0.473430093,0.138528864,-3.417555579,0.000631862,0.001235459
K00219,5.933197325,0.380168331,0.825928455,0.460292086,0.645306581,0.67993034
K00220,0.968035674,2.420725535,4.248806417,0.569742487,0.568852369,0.60884278
K00226,102.7233757,0.695777427,0.35658808,1.951207754,0.051032337,0.072991732
K00228,2.325211409,5.753924379,4.17423418,1.378438327,0.168067997,0.216626622
K00230,86.05545917,1.600688659,0.348548566,4.59244081,4.38E-06,1.22E-05
K00231,1.411364353,-5.040697846,1.330818639,-3.787667004,0.000152068,0.000326377
K00239,139.5916961,-4.109923323,1.083530001,-3.793086781,0.000148786,0.000320008
K00240,143.9137797,-4.08913005,1.095540622,-3.732522526,0.000189572,0.000399073
K00241,133.0455283,-4.337583483,1.151082025,-3.768266194,0.000164385,0.000350286
K00242,1.171357419,4.722673781,4.221767953,1.118648356,0.263290185,0.309303152
K00243,259.9122125,0.308793709,0.23027489,1.340978643,0.179927387,0.22956837
K00244,148.5250527,1.531198226,0.384032318,3.98715982,6.69E-05,0.000153746
K00245,2.75306851,-6.043990907,1.414335511,-4.273378459,1.93E-05,4.81E-05
K00246,3.236878024,-6.147281553,1.416930421,-4.338449837,1.43E-05,3.66E-05
K00248,135.8320579,-3.215327122,0.977678548,-3.288736496,0.001006382,0.001909871
K00249,166.6942649,-2.595760491,0.714037193,-3.635329528,0.000277626,0.000570839
K00252,2.086461576,5.597481545,4.218624831,1.326849807,0.184558371,0.234446805
K00254,34.83445092,-1.185281807,1.218638481,-0.972627916,0.330738263,0.372527304
K00259,71.87623722,-1.916980479,1.145420924,-1.67360351,0.094208548,0.127313081
K00261,3.744648982,-6.322711077,1.179432869,-5.360806235,8.29E-08,3.09E-07
K00262,380.4851022,-1.865815487,0.484582764,-3.850354626,0.000117947,0.000258049
K00265,214.3909293,-0.33447454,0.299942232,-1.115129865,0.264794775,0.310680724
K00266,423.5928241,-0.813741393,0.20639808,-3.942582176,8.06E-05,0.000181538
K00275,34.9883731,-5.05061445,1.467493897,-3.441659595,0.000578157,0.001137015
K00278,165.1298057,-5.317085434,0.820727583,-6.478502181,9.26E-11,5.83E-10
K00281,41.96486706,-23.62262487,1.666262342,-14.17701419,1.27E-45,1.99E-43
K00282,75.90664108,-9.469502759,1.085813576,-8.721112879,2.75E-18,7.94E-17
K00283,78.31213829,-9.651710305,1.04479851,-9.237867602,2.51E-20,9.29E-19
K00285,3.322441509,4.562509857,1.345081636,3.391994756,0.000693858,0.001346316
K00286,376.0573414,0.225014147,0.117851765,1.909298075,0.05622365,0.079412488
K00287,339.7617876,-0.422695987,0.133407265,-3.168463032,0.001532472,0.002838041
K00290,139.3707651,-10.44946534,1.416732339,-7.375751266,1.63E-13,1.87E-12
K00294,12.5857069,-8.184319826,1.146709903,-7.137219101,9.52E-13,8.88E-12
K00297,248.3110848,-1.398859299,0.433827897,-3.224456772,NA,NA
K00298,170.7835262,1.810915241,0.385094008,4.702527706,2.57E-06,7.45E-06
K00299,1.670838425,5.277037624,4.219562794,1.250612417,0.211075918,0.263844898
K00303,3.38348389,-1.17390967,1.22531247,-0.958049231,0.338037934,0.37948749
K00311,1.705133679,5.306277613,4.219468324,1.257570197,0.208547237,0.261246385
K00313,5.265842326,-6.951021415,1.162052663,-5.981675047,2.21E-09,1.08E-08
K00318,8.386451392,-7.597354494,1.188837304,-6.390575457,1.65E-10,9.98E-10
K00320,1.488634516,-5.178058763,2.632999035,-1.966601087,0.049229218,0.070587926
K00322,0.985068957,4.514626087,4.222839592,1.069097224,0.285025862,0.328875995
K00324,11.42499937,-0.291635739,0.638734321,-0.456583794,0.64797023,0.682383157
K00325,11.45874069,-0.521128489,0.74329198,-0.701108719,0.483235169,0.523966648
K00330,115.5189253,-4.032048258,1.216136995,-3.315455638,0.000914939,0.001745296
K00331,102.668821,-3.986430197,1.219369074,-3.269256438,0.001078305,0.002037801
K00333,16.4732108,-0.634313227,4.201645436,-0.150967814,NA,NA
K00334,79.28425131,-3.487687308,0.93634656,-3.724782529,0.000195484,0.000410032
K00335,74.41090333,-5.715640497,0.974371412,-5.865977208,4.46E-09,2.04E-08
K00337,109.637335,-3.678027905,1.236368689,-2.974863354,0.002931191,0.005196376
K00338,84.67505707,-3.603789798,1.224025702,-2.944210887,0.003237793,0.005707558
K00339,46.92253603,-2.636593626,1.247685783,-2.113187201,0.034584748,0.051298002
K00340,108.6984451,-4.004596488,1.102417726,-3.632558145,0.000280625,0.000576423
K00341,96.51142702,-3.439203973,1.219247206,-2.820760185,NA,NA
K00342,2.083485668,1.766932369,1.025167309,1.723555124,0.084788186,0.115697877
K00343,108.1063803,-3.940226764,1.149706592,-3.42715854,0.000609933,0.001195457
K00344,65.36461963,10.10182129,1.456399966,6.936158701,4.03E-12,3.33E-11
K00346,83.04381633,-5.350586072,0.69496414,-7.699082248,1.37E-14,1.97E-13
K00347,80.66911808,-9.742908929,1.04639083,-9.310965511,1.27E-20,4.81E-19
K00348,84.54491336,-5.67428886,0.629416671,-9.015155021,1.97E-19,6.50E-18
K00349,82.71028091,-6.102132035,0.626450712,-9.740801498,2.02E-22,9.77E-21
K00350,82.03580594,-5.287188972,0.656512809,-8.053443739,8.05E-16,1.46E-14
K00351,71.45558916,-4.562678002,0.661903093,-6.893271911,5.45E-12,4.38E-11
K00355,21.97691152,-7.30199957,1.258485246,-5.802213094,6.54E-09,2.90E-08
K00362,1.474509428,5.096725566,4.22018956,1.207700624,0.227162438,0.278977435
K00364,114.1833961,2.261161339,0.40088631,5.640405479,1.70E-08,7.08E-08
K00370,4.920057236,-6.417116524,1.275267007,-5.031978783,4.85E-07,1.60E-06
K00371,4.93759615,-6.403033854,1.238795426,-5.168758068,2.36E-07,8.14E-07
K00372,1.44151954,5.064085934,4.220311614,1.199931758,0.230165845,0.281814506
K00373,4.733235786,-6.184841056,1.44209578,-4.288786599,1.80E-05,4.51E-05
K00374,4.882598313,-6.223263544,1.315502014,-4.730713808,2.24E-06,6.56E-06
K00375,49.69094993,-6.342870832,0.894982032,-7.087148796,1.37E-12,1.24E-11
K00381,17.02526038,-19.27782043,4.293557798,-4.489940823,NA,NA
K00382,332.1307607,0.641223728,0.241636453,2.653671328,0.007962134,0.013221436
K00383,37.55119001,9.278387656,1.742697003,5.324154251,1.01E-07,3.72E-07
K00384,397.3928054,0.01561771,0.160421139,0.097354438,0.922444926,0.932770802
K00385,6.00984474,-3.164457029,0.903829314,-3.501166623,0.000463226,0.00092486
K00390,41.21768894,-2.013291771,1.003771211,-2.005727748,0.044885303,0.065094098
K00394,2.368806941,-5.852752823,1.690980812,-3.461158626,0.000537856,0.001063934
K00395,5.23047827,-6.988145548,1.558906605,-4.482722393,7.37E-06,1.98E-05
K00424,0.936748144,4.44241311,4.223249072,1.051894651,0.292847886,0.336278717
K00425,282.921884,0.443000724,0.247847923,1.787389292,0.073874591,0.101831201
K00426,263.2246556,0.318188722,0.236743095,1.344025351,0.178940189,0.22859581
K00427,1.302027409,4.917179233,4.2208964,1.164960892,0.244034824,0.292847847
K00428,24.61420785,-3.523115727,1.468187418,-2.399636235,NA,NA
K00432,86.04943085,2.06381406,0.294912667,6.9980516,2.60E-12,2.22E-11
K00433,2.726545869,5.057102749,4.220337937,1.198269623,0.230812068,0.282510323
K00437,2.383419165,-5.86613142,1.971375059,-2.97565468,0.002923639,0.005185249
K00441,10.31237554,-5.003353767,1.122181001,-4.458597821,8.25E-06,2.19E-05
K00448,1.23755631,4.843877504,4.22121118,1.147508925,0.251171347,0.298908757
K00449,1.334243255,4.952613227,4.220749864,1.173396526,0.24063683,0.290263713
K00459,255.595579,-0.235209725,0.246663761,-0.953564173,0.340304298,0.381926276
K00481,1.428782422,5.051416114,4.220359739,1.196916004,0.231339296,0.282825334
K00496,0.819119115,4.249084999,4.224451451,1.005831183,0.314496784,0.357040049
K00507,2.311265236,5.74504511,4.218258087,1.361947276,0.173214525,0.222396845
K00525,302.3849418,0.303249078,0.171712576,1.766027188,0.077391288,0.106138861
K00526,150.448055,1.892546735,0.358073742,5.285354694,1.25E-07,4.53E-07
K00528,23.75616189,-1.996833092,0.835076538,-2.391197695,0.016793507,0.026545504
K00537,204.8417767,0.697701471,0.246728575,2.827809759,0.004686765,0.008059094
K00547,6.231878486,-0.486002741,1.032386741,-0.470756473,0.637814651,0.673300332
K00548,219.7674352,-4.073177162,0.739731395,-5.506292135,3.66E-08,1.46E-07
K00549,251.0859671,1.744863489,0.286004372,6.100828036,1.06E-09,5.49E-09
K00554,366.5714851,-0.554338269,0.115095236,-4.816344152,1.46E-06,4.40E-06
K00556,10.10066948,-7.590770818,1.060862387,-7.155283205,8.35E-13,7.89E-12
K00558,781.8326386,-1.309084153,0.232108716,-5.639961209,1.70E-08,7.08E-08
K00560,390.7767219,-0.489081466,0.142886998,-3.422854931,0.000619671,0.00121279
K00561,1.23844127,-3.720503884,1.788951364,-2.079712148,0.037551943,0.055387754
K00563,167.5663925,1.274428379,0.20044073,6.358130784,2.04E-10,1.22E-09
K00564,168.4545656,1.650835025,0.341952167,4.827678207,1.38E-06,4.17E-06
K00566,389.9367515,-0.669621456,0.151237659,-4.427610557,9.53E-06,2.50E-05
K00567,200.2104574,-2.707622496,0.810753266,-3.339638098,0.000838876,0.001610025
K00568,1.737920257,5.333708468,4.21938142,1.264097254,0.206195122,0.258618689
K00570,6.998411195,-2.18566246,1.001599605,-2.182171847,0.029096852,0.043774502
K00571,204.8686959,-2.758042092,1.067588188,-2.583432565,0.009782259,0.016047168
K00573,5.229770399,-2.512625328,1.135962144,-2.211891778,0.026974143,0.04090906
K00574,166.2258312,1.590928115,0.345204138,4.608658881,4.05E-06,1.14E-05
K00575,99.52260685,-2.784288516,0.968025961,-2.876253974,0.004024258,0.006984888
K00588,289.4489338,-0.090379081,0.222740385,-0.405759743,0.68491914,0.717021969
K00590,12.03421357,-7.947725736,1.093881443,-7.265618942,3.71E-13,3.82E-12
