KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00009,79.98419707,3.276294929,0.553550289,5.918694286,3.25E-09,1.20E-08
K00012,309.1274799,-10.33423717,1.208831125,-8.548950263,1.24E-17,2.11E-16
K00013,193.8834438,-6.521196139,0.512629592,-12.72106847,4.52E-37,6.35E-35
K00024,144.8594097,-7.702126951,1.05584418,-7.294757216,2.99E-13,2.16E-12
K00027,163.8844893,-2.53507839,0.709165315,-3.574735447,0.000350582,0.00062231
K00031,127.4662142,-2.128767165,0.809371441,-2.630148602,0.008534755,0.012827235
K00036,94.51645709,2.043468092,0.418889714,4.878296179,1.07E-06,2.70E-06
K00041,117.4614024,-2.942581008,0.757048833,-3.886910434,0.000101528,0.000195133
K00046,138.6979358,-3.147872572,0.766876306,-4.10479832,4.05E-05,8.13E-05
K00053,237.2098921,-3.600717761,0.639026297,-5.634694183,1.75E-08,5.77E-08
K00054,81.93265834,2.804861299,0.599544912,4.678317239,2.89E-06,6.86E-06
K00067,370.2921782,-4.441178841,0.581489862,-7.637586026,2.21E-14,2.01E-13
K00097,134.6252301,-10.30647722,1.497683809,-6.881610897,5.92E-12,3.32E-11
K00099,291.4447147,-7.875251216,0.605228864,-13.01202187,1.05E-38,1.64E-36
K00112,86.56282646,-9.625691646,1.375144322,-6.999768311,2.56E-12,1.54E-11
K00113,86.08028898,-9.604948747,1.483710811,-6.47359895,9.57E-11,4.38E-10
K00169,60.96422551,-8.910001173,1.307350903,-6.815309609,9.41E-12,5.04E-11
K00172,59.84600297,-8.925567194,1.30609612,-6.833775138,8.27E-12,4.50E-11
K00174,340.4158873,-9.84346298,1.08804387,-9.046935743,1.47E-19,3.71E-18
K00175,324.7242687,-10.61105695,1.286140533,-8.250309106,1.58E-16,2.23E-15
K00176,183.2507367,-10.75327214,1.239507322,-8.675440593,4.12E-18,7.55E-17
K00177,167.9330907,-10.63657976,1.242574952,-8.560111196,1.13E-17,1.94E-16
K00179,123.3758675,-10.0536042,1.201535348,-8.367297907,5.90E-17,9.06E-16
K00180,131.2549631,-10.15015888,1.202163139,-8.443245806,3.09E-17,4.93E-16
K00208,97.71407283,-2.222423753,0.608839769,-3.650260492,0.000261974,0.000474292
K00239,185.1567603,-6.977698536,0.627462427,-11.12050416,9.97E-29,7.41E-27
K00240,196.6187004,-7.130219012,0.637712384,-11.18093232,5.06E-29,3.90E-27
K00241,182.211466,-6.704268425,0.864745887,-7.752876918,8.98E-15,9.02E-14
K00248,113.1880468,-9.682155583,1.242225001,-7.794204413,6.48E-15,6.69E-14
K00249,143.7125199,-8.065779875,1.065761819,-7.568088605,3.79E-14,3.18E-13
K00278,209.2238982,-10.80919362,1.211586014,-8.921523934,4.60E-19,1.04E-17
K00282,137.6367476,-6.108410608,0.74817931,-8.164367184,3.23E-16,4.29E-15
K00283,138.1775195,-6.429569702,0.790863889,-8.129805634,4.30E-16,5.58E-15
K00290,187.868492,-10.74877206,1.22308114,-8.788273895,1.52E-18,3.18E-17
K00297,204.3879482,-9.761417473,1.188701143,-8.211834851,2.18E-16,2.96E-15
K00330,150.7437351,-9.450828239,1.355215576,-6.9736715,3.09E-12,1.82E-11
K00331,140.7587094,-10.22688665,1.338367736,-7.641312907,2.15E-14,1.96E-13
K00334,64.40470386,-8.015918732,1.285048494,-6.237833643,4.44E-10,1.84E-09
K00335,56.43877859,-8.849874069,1.272592098,-6.954211081,3.55E-12,2.06E-11
K00337,149.3785047,-10.34270881,1.360480144,-7.602248998,2.91E-14,2.54E-13
K00338,112.6895195,-9.972039217,1.490434244,-6.69069384,2.22E-11,1.12E-10
K00340,151.5305515,-10.41134664,1.361145683,-7.648958352,2.03E-14,1.87E-13
K00341,143.1310514,-9.301189413,1.356761977,-6.855431956,7.11E-12,3.92E-11
K00343,150.225399,-10.38238597,1.363227919,-7.616030912,2.62E-14,2.31E-13
K00346,132.7411815,-10.32285148,1.36104625,-7.584497211,3.34E-14,2.85E-13
K00347,134.6954919,-10.33980246,1.367016127,-7.563775042,3.92E-14,3.28E-13
K00348,138.7732035,-10.34515045,1.366232487,-7.572027855,3.67E-14,3.10E-13
K00349,140.3774577,-10.38984032,1.359975353,-7.639726922,2.18E-14,1.98E-13
K00350,139.5596756,-10.37661837,1.361499215,-7.621464824,2.51E-14,2.22E-13
K00351,133.0286798,-10.27525882,1.341466528,-7.659720611,1.86E-14,1.72E-13
K00364,80.38379909,2.675300884,0.555691276,4.814365456,1.48E-06,3.64E-06
K00375,64.48326087,-5.353396441,0.828577718,-6.460946664,1.04E-10,4.73E-10
K00390,53.58139858,-6.128616805,0.910848814,-6.728467682,1.71E-11,8.79E-11
K00459,196.1980004,-6.679677158,0.696813704,-9.586030119,9.15E-22,3.40E-20
K00526,111.7921848,2.121449376,0.473136824,4.483796799,7.33E-06,1.63E-05
K00547,58.04848508,3.308848791,0.77016252,4.296299426,1.74E-05,3.66E-05
K00548,229.4109963,-10.92292959,1.193011165,-9.155764763,5.40E-20,1.46E-18
K00571,312.7001943,-3.202288708,0.70613784,-4.534934296,5.76E-06,1.30E-05
K00574,103.7929454,2.05490047,0.420444419,4.887448565,1.02E-06,2.58E-06
K00595,57.08778234,-8.958292776,1.234166159,-7.258579171,3.91E-13,2.74E-12
K00605,163.0617429,-6.795180668,0.717419129,-9.471702652,2.75E-21,9.30E-20
K00606,200.0657462,-7.035425775,0.665157503,-10.57708249,3.81E-26,2.07E-24
K00610,181.6665187,-10.71271293,1.198225434,-8.940482001,3.87E-19,8.90E-18
K00615,506.9505973,-3.571706899,0.760762416,-4.69490451,2.67E-06,6.37E-06
K00616,62.82577443,-5.89162261,0.866738038,-6.797466307,1.06E-11,5.66E-11
K00626,172.6124871,-2.019495055,0.467508142,-4.319700286,1.56E-05,3.32E-05
K00627,71.58886886,4.537481088,0.563148426,8.057344877,7.80E-16,9.51E-15
K00639,78.4906501,-5.908232082,0.6930124,-8.525434876,1.52E-17,2.55E-16
K00641,97.82923177,-7.242234085,0.981914528,-7.375625755,1.64E-13,1.25E-12
K00645,255.2872532,-4.083279442,0.602774669,-6.774139082,1.25E-11,6.58E-11
K00651,167.573589,-2.969085117,0.656040224,-4.525766876,6.02E-06,1.36E-05
K00652,154.751758,-6.673626752,0.992268135,-6.7256284,1.75E-11,8.95E-11
K00662,62.47701148,-8.923006947,1.220112643,-7.313264882,2.61E-13,1.90E-12
K00677,294.5701898,-11.42725193,1.41215077,-8.092090571,5.86E-16,7.29E-15
K00682,125.7764099,-9.792209597,1.391765246,-7.035819886,1.98E-12,1.22E-11
K00683,139.513269,-10.35652805,1.517425884,-6.825063523,8.79E-12,4.73E-11
K00684,54.82362715,-8.667046384,1.209848926,-7.163742676,7.85E-13,5.26E-12
K00691,94.61727835,2.363727611,0.505290271,4.677959874,2.90E-06,6.87E-06
K00702,101.0356347,-9.682366184,1.194342466,-8.106859183,5.19E-16,6.55E-15
K00705,369.5548853,-11.55635607,1.196153092,-9.661268402,4.40E-22,1.75E-20
K00712,131.7608876,2.13056731,0.462505946,4.606572798,4.09E-06,9.49E-06
K00721,169.0516151,-10.6493401,1.213050722,-8.778973471,1.65E-18,3.42E-17
K00748,164.1193412,-10.56305152,1.357596636,-7.780699543,7.21E-15,7.37E-14
K00756,100.3367021,2.035185527,0.426751647,4.769016226,1.85E-06,4.49E-06
K00757,190.7497652,-10.73531755,1.207849577,-8.887959031,6.22E-19,1.38E-17
K00765,201.7761647,-7.406281145,0.667788047,-11.09076627,1.39E-28,1.02E-26
K00766,140.9176479,-7.300967697,0.746383409,-9.781792585,1.35E-22,5.80E-21
K00767,205.1079065,-8.989941616,1.017339014,-8.836721574,9.86E-19,2.13E-17
K00768,100.7203857,-9.693555939,1.209923664,-8.011708693,1.13E-15,1.33E-14
K00782,61.82651451,3.039049724,0.60390145,5.032360368,4.84E-07,1.30E-06
K00788,211.6875413,-6.332303444,0.461380769,-13.72468006,7.22E-43,1.41E-40
K00793,238.2961539,-3.807166741,0.480550382,-7.9225132,2.33E-15,2.65E-14
K00794,240.0912953,-4.235204201,0.484249026,-8.745921978,2.21E-18,4.33E-17
K00796,231.2759748,-6.26065269,0.420729416,-14.88047295,4.41E-50,1.80E-47
K00797,63.25089418,-8.920846725,1.393599574,-6.401298403,1.54E-10,6.82E-10
K00798,205.5749898,-3.663405279,0.833875,-4.393230737,1.12E-05,2.42E-05
K00817,213.0991291,-8.264426583,0.859884666,-9.611087291,7.18E-22,2.74E-20
K00833,155.0625962,-9.430262178,1.239004368,-7.611161369,2.72E-14,2.38E-13
K00841,94.14513517,2.230931719,0.482318396,4.625433614,3.74E-06,8.73E-06
K00847,253.2249373,-11.08206363,1.199041104,-9.242438479,2.41E-20,6.99E-19
K00848,120.4423313,-8.181395958,1.007988057,-8.116560414,4.80E-16,6.11E-15
K00854,129.9687303,-2.189683271,0.772906966,-2.833048953,0.004610632,0.007161195
K00867,89.64281731,2.658977374,0.574751626,4.626306832,3.72E-06,8.70E-06
K00868,114.4731211,-9.876159141,1.256793829,-7.858217402,3.90E-15,4.16E-14
K00869,65.70282615,3.038223748,0.605612508,5.016778399,5.25E-07,1.40E-06
K00872,108.3918743,2.259489196,0.489617811,4.614801883,3.93E-06,9.15E-06
K00874,278.6110557,-3.96813846,0.61691705,-6.432207476,1.26E-10,5.65E-10
K00878,69.9608083,-3.639018766,0.537503409,-6.770224539,1.29E-11,6.74E-11
K00887,58.39274196,2.730588149,0.562794859,4.851835627,1.22E-06,3.06E-06
K00891,337.0416628,-4.454036412,0.594853183,-7.487623067,7.01E-14,5.65E-13
K00895,149.2156304,-10.41190421,1.458599092,-7.138290613,9.45E-13,6.23E-12
K00912,163.1534827,-9.621469701,1.358061435,-7.084708727,1.39E-12,8.86E-12
K00928,53.17787409,-8.619085106,1.259498284,-6.843268636,7.74E-12,4.23E-11
K00929,110.4526201,-6.261921501,0.587298785,-10.66224153,1.53E-26,8.68E-25
K00937,146.5268497,-5.508627323,0.498690301,-11.04618902,2.29E-28,1.64E-26
K00938,66.40590839,3.000788693,0.602107127,4.983811944,6.23E-07,1.64E-06
K00941,184.1874462,-5.695407333,0.387420698,-14.70083391,6.37E-49,2.37E-46
K00946,161.1331721,-9.49658076,1.345751691,-7.056711001,1.70E-12,1.07E-11
K00950,235.7782496,-6.187211855,0.402930341,-15.35553725,3.25E-53,1.66E-50
K00963,110.1474003,-2.435128722,0.592901743,-4.107137059,4.01E-05,8.07E-05
K00970,227.4925009,-10.93213456,1.187458774,-9.206327663,3.37E-20,9.58E-19
K00971,302.4818783,-11.46180097,1.193951949,-9.599884634,8.00E-22,3.03E-20
K00978,119.603402,-9.677888206,1.232440806,-7.852619095,4.07E-15,4.33E-14
K00979,165.7281437,-9.585364521,1.262953771,-7.589640051,3.21E-14,2.76E-13
K00980,200.6724648,-2.97594606,0.646665241,-4.601988592,4.18E-06,9.68E-06
K00986,1919.599677,-5.402704019,0.456156752,-11.84396371,2.31E-32,2.36E-30
K00991,97.49540769,-6.209317578,0.830296167,-7.478437006,7.52E-14,6.04E-13
K00992,66.64731938,-9.344207241,1.3794926,-6.773655213,1.26E-11,6.60E-11
K01002,61.34040704,-8.870997728,1.255188338,-7.067463471,1.58E-12,9.94E-12
K01009,112.5050364,-9.857966425,1.199337531,-8.219509663,2.04E-16,2.78E-15
K01012,250.0109294,-9.292145211,1.009813029,-9.201847216,3.52E-20,9.92E-19
K01046,65.50708033,-6.455827156,1.105992358,-5.837135411,5.31E-09,1.90E-08
K01051,173.8602293,-10.71092299,1.220553597,-8.775463056,1.70E-18,3.46E-17
K01058,154.1788018,-9.399040049,1.50577513,-6.241994481,4.32E-10,1.79E-09
K01066,59.82954165,-7.843475929,1.222110439,-6.417976378,1.38E-10,6.15E-10
K01069,293.4754448,-3.990406653,0.571177759,-6.986278071,2.82E-12,1.67E-11
K01077,180.209971,-10.64642448,1.291359132,-8.244356056,1.66E-16,2.34E-15
K01079,136.1716755,-9.188898127,1.219361172,-7.535829696,4.85E-14,4.00E-13
K01089,59.4965646,-9.011167751,1.346859588,-6.690502731,2.22E-11,1.12E-10
K01092,171.5195757,-5.739919095,0.453716975,-12.6508802,1.11E-36,1.46E-34
K01095,88.19967486,-7.964023366,1.067453435,-7.460768876,8.60E-14,6.83E-13
K01101,81.33567431,2.507896883,0.369207942,6.792640665,1.10E-11,5.85E-11
K01118,92.63281074,2.405626444,0.463301945,5.19235127,2.08E-07,5.93E-07
K01129,289.701835,-10.35151818,1.190664255,-8.69390186,3.50E-18,6.54E-17
K01144,169.1490868,-10.67866967,1.286766145,-8.298842572,1.05E-16,1.54E-15
K01155,54.96166862,-9.004843408,1.219211642,-7.385791851,1.52E-13,1.16E-12
K01159,225.0185845,-11.02638399,1.207008044,-9.135302817,6.52E-20,1.73E-18
K01163,178.9649006,-10.62027805,1.193995302,-8.89474023,5.86E-19,1.31E-17
K01173,196.840604,-9.93950777,1.336064837,-7.439390285,1.01E-13,7.88E-13
K01176,99.71545824,-2.71169006,0.968387843,-2.800210763,0.005106925,0.00790201
K01179,154.01134,-10.44969603,1.20479743,-8.673404987,4.19E-18,7.63E-17
K01181,262.7678644,-11.12037717,1.217487078,-9.13387696,6.61E-20,1.74E-18
K01183,59.22920145,-9.121970495,1.380754541,-6.606511311,3.93E-11,1.89E-10
K01185,358.7770846,-11.80302301,1.263357981,-9.342580002,9.40E-21,2.98E-19
K01187,129.1974562,-6.599397235,0.720443882,-9.160182221,5.18E-20,1.41E-18
K01190,1023.344207,-2.211115143,0.187160797,-11.81398656,3.31E-32,3.30E-30
K01192,103.3792742,-9.514524651,1.253595188,-7.589790343,3.20E-14,2.76E-13
K01198,486.3035135,-4.670016671,0.79271076,-5.89119879,3.83E-09,1.40E-08
K01200,226.5273234,-3.001801698,0.818402465,-3.66787959,0.00024457,0.000445347
K01201,71.47752648,-9.544185672,1.384742128,-6.892392076,5.49E-12,3.10E-11
K01205,67.17658504,-9.447730106,1.312850333,-7.196349705,6.18E-13,4.21E-12
K01209,390.4321343,-3.207012896,0.870916563,-3.682342295,0.000231101,0.000422892
K01215,79.23854957,2.350300205,0.503369399,4.669136048,3.02E-06,7.15E-06
K01218,211.7123423,-10.99618866,1.243945175,-8.839769535,9.59E-19,2.09E-17
K01226,60.25453007,3.821370686,0.940177377,4.064520995,4.81E-05,9.57E-05
K01232,74.37465066,3.637526103,0.833651899,4.363363304,1.28E-05,2.75E-05
K01235,67.73494501,-9.084580905,1.235716109,-7.351673122,1.96E-13,1.47E-12
K01251,65.24398351,-9.013191574,1.243179478,-7.250112901,4.16E-13,2.89E-12
K01267,178.4048798,-10.61829509,1.214223003,-8.744929941,2.23E-18,4.34E-17
K01270,286.8584592,-11.4051792,1.191519869,-9.571958887,1.05E-21,3.86E-20
K01273,115.5170304,-7.510352962,0.902359867,-8.323013061,8.58E-17,1.27E-15
K01277,150.1695146,-10.52713239,1.362895487,-7.724093655,1.13E-14,1.10E-13
K01278,186.8102915,-10.83931176,1.373942384,-7.889204004,3.04E-15,3.32E-14
K01281,71.66318936,2.720819256,0.623948175,4.360649435,1.30E-05,2.78E-05
K01284,304.6492942,-11.52824858,1.384496911,-8.326669771,8.31E-17,1.24E-15
K01286,62.1238582,-9.154286596,1.339229084,-6.835489691,8.17E-12,4.45E-11
K01303,152.991442,-3.024249775,0.916442627,-3.299988113,0.000966889,0.001625988
K01322,111.0552141,-9.972299,1.356327962,-7.352424547,1.95E-13,1.46E-12
K01338,252.9813291,-11.08353715,1.18952464,-9.317618796,1.19E-20,3.66E-19
K01419,62.23372198,2.858710194,0.591444508,4.83343772,1.34E-06,3.33E-06
K01425,163.7247515,-5.080274148,0.425495189,-11.93967471,7.35E-33,7.71E-31
K01430,87.47759946,2.620372645,0.551095566,4.75484255,1.99E-06,4.80E-06
K01433,60.16491935,-7.712108692,1.445090201,-5.336766306,9.46E-08,2.84E-07
K01438,58.73564549,-7.938362633,1.271902827,-6.241327923,4.34E-10,1.80E-09
K01447,480.1318161,-7.818402681,0.501901527,-15.57756304,1.03E-54,7.05E-52
K01448,858.8856177,-2.036924484,0.168968762,-12.05503583,1.82E-33,2.13E-31
K01449,255.2211344,-11.01286916,1.329325771,-8.284552518,1.19E-16,1.72E-15
K01468,113.0189747,-2.506845231,0.767711996,-3.265345917,0.001093305,0.001827988
K01480,54.43903518,-3.800615866,0.612319199,-6.206919315,5.40E-10,2.21E-09
K01486,53.70092447,-7.656252942,1.22108407,-6.270045717,3.61E-10,1.51E-09
K01489,348.1586744,-2.518317825,0.789174962,-3.19107669,0.001417437,0.002336484
K01495,236.4295588,-6.857846768,0.46672754,-14.69346927,7.10E-49,2.42E-46
K01496,87.05904214,-8.172835228,1.229603426,-6.646724507,3.00E-11,1.47E-10
K01497,226.9929573,-3.75773235,0.504721708,-7.445156988,9.68E-14,7.57E-13
K01500,115.380434,-3.18497017,0.77380506,-4.115985194,3.86E-05,7.79E-05
K01567,85.75252034,-9.333820926,1.346684223,-6.930964782,4.18E-12,2.40E-11
K01575,78.25651914,2.964977859,0.642344805,4.615866486,3.91E-06,9.11E-06
K01577,120.202371,-6.93985399,0.7151537,-9.704003479,2.90E-22,1.20E-20
K01579,182.6592089,-8.279595029,0.899867079,-9.200908912,3.55E-20,9.94E-19
K01585,100.9393332,-9.628060278,1.313589664,-7.329579809,2.31E-13,1.69E-12
K01589,143.3455841,2.812652018,0.519963988,5.409320804,6.33E-08,1.94E-07
K01597,66.83179406,2.946665054,0.592533289,4.97299495,6.59E-07,1.72E-06
K01604,149.3235865,-10.50834694,1.343299424,-7.822788241,5.17E-15,5.42E-14
K01609,68.87979808,-6.543955391,0.915976638,-7.144238311,9.05E-13,6.02E-12
K01613,280.4473053,-10.3426543,1.227966202,-8.422588733,3.68E-17,5.81E-16
K01620,110.7110009,-9.862584797,1.189786751,-8.289371844,1.14E-16,1.66E-15
K01621,96.46900546,2.368104763,0.406043751,5.83214188,5.47E-09,1.95E-08
K01626,140.4559947,-8.854461046,1.250821331,-7.078917527,1.45E-12,9.19E-12
K01627,150.4619667,-10.40140989,1.316744032,-7.899340827,2.80E-15,3.10E-14
K01628,52.96240545,-8.516162361,1.306132918,-6.520134546,7.02E-11,3.27E-10
K01633,123.7530205,-5.111694336,0.488641877,-10.46102386,1.30E-25,6.84E-24
K01635,86.5417053,3.565531375,1.041820062,3.422406136,0.000620695,0.001064347
K01641,70.4866386,2.810798879,0.585979388,4.796753837,1.61E-06,3.96E-06
K01653,306.3796619,-3.663349064,0.713565975,-5.133861748,2.84E-07,7.93E-07
K01657,136.7330401,-6.39880045,0.591475481,-10.81836975,2.82E-27,1.75E-25
K01658,149.5674664,-7.803737351,0.867383906,-8.996866667,2.32E-19,5.49E-18
K01662,335.0397231,-4.275078746,0.467261869,-9.149213815,5.73E-20,1.54E-18
K01666,84.96986801,-9.198542214,1.370504639,-6.711792103,1.92E-11,9.79E-11
K01673,180.2127912,-7.25813057,0.640425505,-11.33329407,8.98E-30,7.20E-28
K01676,155.5301234,-9.517689824,1.33716414,-7.117817132,1.10E-12,7.19E-12
K01677,89.10268085,-9.41750362,1.315867092,-7.15688057,8.25E-13,5.50E-12
K01678,87.50350152,-9.455274023,1.303678041,-7.252767726,4.08E-13,2.84E-12
K01679,64.20319856,-3.884814771,0.471727653,-8.235291582,1.79E-16,2.49E-15
K01685,115.3480393,-2.644398799,0.780137183,-3.389658712,0.000699797,0.001193479
K01686,236.4850176,-3.357174965,0.713772257,-4.703425964,2.56E-06,6.13E-06
K01687,216.2215595,-3.252228256,0.662694187,-4.907585307,9.22E-07,2.34E-06
K01692,89.69821932,-9.34719288,1.230630709,-7.595449077,3.07E-14,2.66E-13
K01693,92.92308578,-8.364282766,1.210173263,-6.911640692,4.79E-12,2.72E-11
K01695,155.4348891,-6.572681348,0.58038118,-11.3247665,9.89E-30,7.78E-28
K01696,157.4057131,-6.537017163,0.586336843,-11.14891081,7.25E-29,5.49E-27
K01698,65.62156543,-4.820795448,0.651596198,-7.398440112,1.38E-13,1.06E-12
K01703,224.9463679,-3.416983926,0.624921963,-5.467856994,4.56E-08,1.42E-07
K01704,231.2726982,-3.753417944,0.661597461,-5.673265336,1.40E-08,4.68E-08
K01709,95.10671776,-9.292347851,1.218881085,-7.623670564,2.47E-14,2.20E-13
K01711,226.2645261,-10.89331402,1.206116073,-9.031729417,1.69E-19,4.16E-18
K01712,117.6056622,-2.669931811,0.768028907,-3.476342864,0.000508302,0.000880482
K01715,82.78781795,-9.223719071,1.238282294,-7.448801549,9.42E-14,7.41E-13
K01719,250.3683479,-8.292463128,0.781741522,-10.607679,2.74E-26,1.54E-24
K01726,224.3459254,-3.302787179,0.701358798,-4.709126322,2.49E-06,5.98E-06
