KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K18122,74.46125606,-9.774041709,1.217823059,-8.025830711,1.01E-15,1.81E-14
K18139,136.065033,-24.12258561,1.804965924,-13.36456567,9.74E-41,1.02E-38
K18218,61.35581906,-9.915491446,1.497614172,-6.620858452,3.57E-11,1.84E-10
K18220,159.0093916,-10.65338827,1.398469784,-7.617889491,2.58E-14,3.14E-13
K18234,132.2990452,-10.49292658,1.513324334,-6.933693157,4.10E-12,2.84E-11
K18344,51.72445963,-9.617698121,1.371668564,-7.011677876,2.35E-12,1.76E-11
K18345,114.2639724,-10.72763268,1.43948664,-7.452401696,9.17E-14,9.68E-13
K18346,132.3392496,-10.84286366,1.536902463,-7.05501092,1.73E-12,1.33E-11
K18349,302.9351246,-11.65403697,1.443694747,-8.072369173,6.89E-16,1.30E-14
K18350,192.7576617,-11.29384771,1.448818321,-7.79521321,6.43E-15,9.20E-14
K18353,115.989003,-10.0838942,1.287876361,-7.82986202,4.88E-15,7.17E-14
K18369,75.26551247,-9.200173557,1.585969997,-5.800975789,6.59E-09,2.07E-08
K18430,75.26696004,-9.29287425,1.33547312,-6.958488428,3.44E-12,2.44E-11
K18431,67.42455403,-9.147451882,1.358687255,-6.732566195,1.67E-11,9.57E-11
K18476,108.7729672,2.654777912,0.44116143,6.017701758,1.77E-09,6.02E-09
K18581,198.3096449,-10.70107853,1.529320495,-6.997276609,2.61E-12,1.92E-11
K18640,232.6755877,-11.66824247,1.581137182,-7.379652194,1.59E-13,1.57E-12
K18691,103.7918894,-10.01739064,1.293913857,-7.741930105,9.79E-15,1.33E-13
K18700,119.6594045,-9.812134348,1.423960986,-6.890732572,5.55E-12,3.62E-11
K18707,221.9312083,-10.20276115,1.401116933,-7.281876986,3.29E-13,2.93E-12
K18785,77.59668849,-9.860787952,1.435946834,-6.86709822,6.55E-12,4.16E-11
K18843,246.6264757,-9.726659385,1.463704298,-6.645235243,3.03E-11,1.60E-10
K18887,50.79085774,-6.279070825,1.602663698,-3.917896708,8.93E-05,0.00015098
K18891,154.4736624,2.437383959,0.399337718,6.103565594,1.04E-09,3.69E-09
K18892,155.9442267,2.489052899,0.410114183,6.069170494,1.29E-09,4.50E-09
K18926,433.7329852,2.230855011,0.360695177,6.18487619,6.22E-10,2.33E-09
K18928,133.7503775,2.008817961,0.421562428,4.765173141,1.89E-06,3.92E-06
K18936,52.88152514,-6.515854855,1.647016707,-3.956155896,7.62E-05,0.000130144
K18954,431.1296473,-12.1593478,1.601360329,-7.593136646,3.12E-14,3.73E-13
K18979,163.2330213,-10.02708205,1.310543133,-7.651088921,1.99E-14,2.52E-13
K18986,81.3386592,-10.37352281,1.403246196,-7.392518029,1.44E-13,1.44E-12
K19003,68.27475912,-5.399789039,1.683323734,-3.207813761,0.001337481,0.001984255
K19048,83.63827863,-10.3055786,1.412391881,-7.296543356,2.95E-13,2.66E-12
K19082,107.7232414,-9.924687049,1.467040718,-6.765106741,1.33E-11,7.78E-11
K19092,235.682494,-11.86684637,1.528735674,-7.762523352,8.33E-15,1.17E-13
K19117,71.8071528,-9.134394658,1.403372128,-6.508889893,7.57E-11,3.54E-10
K19118,72.60645056,-9.213710723,1.392812818,-6.615182315,3.71E-11,1.90E-10
K19119,72.67470583,-9.181425395,1.406780758,-6.526550313,6.73E-11,3.18E-10
K19157,264.2039036,-11.2613619,1.643402193,-6.852468583,7.26E-12,4.53E-11
K19158,440.995856,-11.34437554,1.668964017,-6.797255921,1.07E-11,6.36E-11
K19159,154.2149145,-11.18150084,1.807525816,-6.186080852,6.17E-10,2.32E-09
K19167,50.74114771,-8.330691799,1.33226641,-6.253022472,4.03E-10,1.59E-09
K19169,50.08613606,-9.31733744,1.326268998,-7.025224487,2.14E-12,1.61E-11
K19171,85.63762234,-9.849977919,1.530255293,-6.436820027,1.22E-10,5.47E-10
K19172,72.21747518,-9.732084678,1.285705513,-7.569450842,3.75E-14,4.37E-13
K19265,135.3325247,-6.979891879,1.106882804,-6.305899641,2.87E-10,1.17E-09
K19267,118.9356971,2.734268458,0.371427015,7.361522841,1.82E-13,1.75E-12
K19271,190.2643722,-10.69031675,1.722097554,-6.207730061,5.38E-10,2.04E-09
K19285,88.35517776,2.912360352,0.425992729,6.83664334,8.11E-12,5.00E-11
K19294,457.8413167,-12.5395396,1.373231088,-9.131412556,6.76E-20,2.23E-18
K19309,93.87247209,-10.56463981,1.459240057,-7.239823055,4.49E-13,3.90E-12
K19310,200.5833085,-11.67172166,1.587562893,-7.351974345,1.95E-13,1.87E-12
K19334,215.7832168,-11.19500613,1.664943584,-6.723955236,1.77E-11,1.01E-10
K19337,138.8955009,2.043819883,0.342330909,5.970304843,2.37E-09,7.90E-09
K19504,90.58727691,-7.74313568,1.449010894,-5.343738759,9.10E-08,2.30E-07
K19505,118.3519972,-8.039220852,1.529972543,-5.25448701,1.48E-07,3.63E-07
K19507,157.60724,-8.032102794,1.47754728,-5.436105431,5.45E-08,1.43E-07
K19508,116.1571972,-8.537734451,1.477974551,-5.776645101,7.62E-09,2.36E-08
K19509,117.7764332,-8.778556174,1.488425175,-5.897882085,3.68E-09,1.20E-08
K19510,88.6139623,-9.076448108,1.440857819,-6.299336401,2.99E-10,1.21E-09
K19575,102.8538106,-10.07575684,1.810390461,-5.565515867,2.61E-08,7.33E-08
K19577,135.7721033,2.879424759,0.456226423,6.311394106,2.77E-10,1.14E-09
K19689,153.6313966,-10.42334295,1.32716051,-7.853867618,4.03E-15,6.12E-14
K19693,195.3870848,-11.18109714,1.309833269,-8.536275119,1.39E-17,3.37E-16
K19701,51.78085295,-9.715358918,1.32769137,-7.317482916,2.53E-13,2.32E-12
K19802,68.25501397,-8.62785217,1.496485727,-5.765408929,8.15E-09,2.51E-08
K19824,199.4529396,-10.17711716,1.480494583,-6.874133335,6.24E-12,3.99E-11
K19965,67.48275446,2.923636718,0.381573679,7.662050289,1.83E-14,2.33E-13
K19972,63.81262296,2.655172935,0.402546129,6.595947002,4.23E-11,2.11E-10
K20073,111.2259087,2.918264881,0.444210632,6.569552073,5.05E-11,2.45E-10
K20108,78.63259039,-7.114735029,1.469062064,-4.843045917,1.28E-06,2.72E-06
K20276,114.6778949,-10.38247001,1.493502033,-6.951761549,3.61E-12,2.53E-11
K20344,153.3982371,2.176071175,0.319417023,6.812633701,9.58E-12,5.79E-11
K20345,130.0081182,2.424874473,0.48099949,5.041324412,4.62E-07,1.05E-06
K20444,215.6216444,-11.02200578,1.442425454,-7.641300114,2.15E-14,2.67E-13
K20487,99.06417803,-10.58715445,1.483876272,-7.134795969,9.69E-13,7.86E-12
K20488,171.9997539,-11.31680326,1.518397309,-7.453123896,9.12E-14,9.65E-13
K20491,50.55876627,-9.528079298,1.524394279,-6.250403474,4.09E-10,1.61E-09
K20509,262.0792801,-11.33531843,1.422026101,-7.971244989,1.57E-15,2.64E-14
K20608,59.11261289,-6.18361105,1.539529741,-4.016558359,5.91E-05,0.000102064
K20742,72.23811079,-9.393190996,1.743455113,-5.387687314,7.14E-08,1.84E-07
K20968,75.81513398,-9.129396395,1.24625428,-7.325468438,2.38E-13,2.20E-12
K21023,88.92207218,-9.993591668,1.503892706,-6.645149369,3.03E-11,1.60E-10
K21071,212.6416483,-10.2958569,1.59318187,-6.462449203,1.03E-10,4.70E-10
K21394,209.577194,-11.28362453,1.285691869,-8.776305435,1.69E-18,4.84E-17
K21395,282.5577697,-10.84497796,1.260205793,-8.605719806,7.58E-18,1.99E-16
K21462,67.38286145,-8.779901628,1.423931785,-6.165956627,7.01E-10,2.60E-09
K21472,95.79976318,-9.903822196,1.48403219,-6.673589875,2.50E-11,1.35E-10
K21478,84.96448488,2.66836027,0.442642181,6.028255743,1.66E-09,5.66E-09
K21498,50.29486446,-8.109593221,1.392295153,-5.824622174,5.72E-09,1.82E-08
K21556,96.12231176,-9.792380714,1.247836064,-7.847489743,4.24E-15,6.37E-14
K21562,513.7089351,2.825889229,0.374683738,7.542065326,4.63E-14,5.18E-13
K21567,121.2584148,2.544339606,0.385391386,6.601962836,4.06E-11,2.05E-10
K21571,208.957225,-10.71432092,1.271753294,-8.42484228,3.61E-17,8.44E-16
K21572,2529.668439,-14.72551829,1.272628275,-11.57095012,5.78E-31,2.67E-29
K21573,2219.214232,-14.54778767,1.270893131,-11.44690086,2.44E-30,1.08E-28
K21574,103.3002289,-9.703083375,1.249134888,-7.767842742,7.98E-15,1.13E-13
K21575,63.18961598,-9.443565765,1.251367255,-7.54659811,4.47E-14,5.02E-13
K21600,188.3752724,-9.690905343,1.257071179,-7.709114253,1.27E-14,1.65E-13
K21739,328.0531078,2.237859983,0.390150526,5.735888674,9.70E-09,2.95E-08
K21744,261.2733448,-9.67359221,1.283605547,-7.536265506,4.84E-14,5.39E-13
K21900,52.52114199,-8.984794521,1.678736692,-5.352116603,8.69E-08,2.20E-07
K21903,116.0530407,-9.184837296,1.388698238,-6.613990748,3.74E-11,1.91E-10
K21929,146.7234249,-8.742256199,1.320544845,-6.620188803,3.59E-11,1.85E-10
K21977,123.1520221,2.873266138,0.421551871,6.815925482,9.37E-12,5.71E-11
K22024,118.5150168,-10.02493203,1.617328793,-6.198450234,5.70E-10,2.16E-09
K22044,55.35081423,-7.353011324,1.628889146,-4.514126293,6.36E-06,1.23E-05
K22103,118.6185759,2.560977458,0.43461931,5.892461282,3.80E-09,1.24E-08
K22132,233.4724396,-11.14295672,1.460304609,-7.630570126,2.34E-14,2.86E-13
K22162,103.2782186,-8.103095451,1.223438875,-6.623212336,3.51E-11,1.82E-10
K22212,84.62929652,2.599323342,0.354232462,7.337902714,2.17E-13,2.03E-12
K22214,123.094,-23.52860789,1.822059954,-12.91319083,3.79E-38,2.70E-36
K22373,65.17109705,-9.699389027,1.628785603,-5.954982048,2.60E-09,8.66E-09
K22405,145.7759042,-10.52912239,1.726367203,-6.099005109,1.07E-09,3.79E-09
K22457,125.127995,2.890615445,0.416546994,6.939470189,3.94E-12,2.73E-11
K22719,184.9012783,-10.98883569,1.37295546,-8.003781628,1.21E-15,2.14E-14
