KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,236.1860868,0.535723744,0.217723778,2.460566081,0.013871802,0.02030359
K00004,10.25640369,1.751588511,1.321854358,1.325099472,0.185138161,0.23201864
K00005,26.0864701,0.327357313,0.687135343,0.476408784,0.633783178,0.71989598
K00008,31.05695416,-6.977923262,1.287328965,-5.420466292,5.94E-08,1.84E-07
K00009,79.98419707,3.276294929,0.553550289,5.918694286,3.25E-09,1.20E-08
K00010,49.74067249,-0.280664625,0.869163071,-0.322913656,0.746760634,0.830908402
K00012,309.1274799,-10.33423717,1.208831125,-8.548950263,1.24E-17,2.11E-16
K00013,193.8834438,-6.521196139,0.512629592,-12.72106847,4.52E-37,6.35E-35
K00014,295.3489271,-3.955082721,0.605967575,-6.526888376,NA,NA
K00016,274.4534769,0.693143574,0.169864346,4.080571289,4.49E-05,8.98E-05
K00018,139.184888,-3.211176245,0.755081841,-4.252752579,NA,NA
K00020,36.04881371,-0.648381391,0.817466619,-0.793159471,0.427684917,0.506775635
K00024,144.8594097,-7.702126951,1.05584418,-7.294757216,2.99E-13,2.16E-12
K00027,163.8844893,-2.53507839,0.709165315,-3.574735447,0.000350582,0.00062231
K00029,172.4365005,0.726187315,0.327242733,2.219109065,0.026479305,0.037417007
K00030,16.44550719,-6.866318856,1.346876838,-5.097955997,3.43E-07,9.45E-07
K00031,127.4662142,-2.128767165,0.809371441,-2.630148602,0.008534755,0.012827235
K00033,114.2720885,1.788277787,0.368145189,4.857534041,1.19E-06,2.98E-06
K00034,7.32855616,1.519551103,4.944408162,0.307327197,0.758594336,0.831627491
K00036,94.51645709,2.043468092,0.418889714,4.878296179,1.07E-06,2.70E-06
K00038,21.56371819,-1.497836175,0.697515118,-2.147388831,0.031762339,0.044406444
K00041,117.4614024,-2.942581008,0.757048833,-3.886910434,0.000101528,0.000195133
K00042,6.065640877,-5.339130384,1.376351386,-3.879191344,0.000104804,0.000201146
K00045,1.438749009,-4.137483896,1.431639614,-2.89003172,0.00385203,0.006035683
K00046,138.6979358,-3.147872572,0.766876306,-4.10479832,4.05E-05,8.13E-05
K00048,74.95791515,-1.120455774,0.938139234,-1.194338466,0.232345597,0.28747845
K00052,217.9509138,-3.316344872,0.661517927,-5.01323507,NA,NA
K00053,237.2098921,-3.600717761,0.639026297,-5.634694183,1.75E-08,5.77E-08
K00054,81.93265834,2.804861299,0.599544912,4.678317239,2.89E-06,6.86E-06
K00055,4.61017288,-4.824991393,1.782055738,-2.707542357,0.006778342,0.01032794
K00057,364.3662717,-0.413034589,0.104783202,-3.941801539,8.09E-05,0.000156982
K00058,140.1902932,-1.940087893,0.717598181,-2.703585301,0.006859584,0.010447831
K00059,441.3526382,-4.294330133,0.599447031,-7.163819171,NA,NA
K00060,13.08979827,-6.36305132,1.333597295,-4.7713439,1.83E-06,4.45E-06
K00065,16.06129158,-6.542923105,1.285722024,-5.088909565,3.60E-07,9.85E-07
K00066,1.216006546,-3.450493342,1.755157805,-1.965916303,0.04930828,0.066767886
K00067,370.2921782,-4.441178841,0.581489862,-7.637586026,2.21E-14,2.01E-13
K00068,12.36974582,-3.439408988,1.212253882,-2.837201876,0.004551083,0.007074078
K00073,33.85740527,2.485113438,1.108669279,2.241528187,0.024991882,0.035474588
K00074,36.30783965,-8.095253538,1.266950554,-6.389557597,1.66E-10,7.30E-10
K00075,376.2787713,-0.413070698,0.075461972,-5.473892192,4.40E-08,1.38E-07
K00076,48.63094412,-8.544896182,1.510223883,-5.658032743,1.53E-08,5.06E-08
K00077,152.1253365,-1.84953221,0.499953052,-3.69941178,0.0002161,0.000397219
K00078,45.72249277,-8.357698644,1.380536962,-6.053947758,1.41E-09,5.50E-09
K00087,9.2206191,-6.003208126,1.360218675,-4.413413989,1.02E-05,2.21E-05
K00088,378.1670062,-0.43936385,0.080338559,-5.468903787,4.53E-08,1.41E-07
K00090,4.668792716,0,4.98008961,0,1,1
K00091,13.18991799,-7.232848532,1.359466873,-5.320356589,1.04E-07,3.09E-07
K00096,36.07249501,-7.962583376,1.341298153,-5.936475313,2.91E-09,1.08E-08
K00097,134.6252301,-10.30647722,1.497683809,-6.881610897,5.92E-12,3.32E-11
K00099,291.4447147,-7.875251216,0.605228864,-13.01202187,1.05E-38,1.64E-36
K00100,13.36015407,2.80145921,1.15156802,2.432734464,0.014985286,0.021870707
K00104,30.96876595,-3.355062726,0.930533863,-3.605524592,0.000311523,0.000557089
K00105,3.52827062,6.932843175,3.477729238,1.993497107,NA,NA
K00108,7.762862459,1.519550537,4.944408162,0.307327083,0.758594423,0.831627491
K00111,184.9516985,-0.790398321,0.503281132,-1.570490668,0.116301004,0.149461963
K00112,86.56282646,-9.625691646,1.375144322,-6.999768311,2.56E-12,1.54E-11
K00113,86.08028898,-9.604948747,1.483710811,-6.47359895,9.57E-11,4.38E-10
K00116,24.29895707,2.750672879,1.802462772,1.52606363,0.126994019,0.162641463
K00121,11.21035003,0.723235767,4.979375559,0.145246278,0.884516429,0.932415257
K00123,7.965485714,-0.508765726,1.421644063,-0.357871383,0.720439568,0.805884885
K00124,5.463092935,-5.377736009,1.406682998,-3.822990692,0.000131843,0.000249525
K00125,11.19006151,-6.526921422,1.316384557,-4.95821786,7.11E-07,1.85E-06
K00127,0.962197216,-3.64972426,2.197858888,-1.660581705,0.096797486,0.126299137
K00128,6.928410214,1.740483315,4.584348394,0.379657732,0.7041995,0.789135843
K00130,7.219979585,1.519551249,4.944408162,0.307327227,0.758594314,0.831627491
K00132,6.929270026,2.006413082,1.078488381,1.860393786,NA,NA
K00133,364.3348017,-0.565864954,0.098804251,-5.727131662,1.02E-08,3.47E-08
K00134,426.6494,-0.50327433,0.07776075,-6.472086841,9.67E-11,4.41E-10
K00135,18.38080228,2.860715245,4.796772981,0.596383289,0.550919202,0.635843506
K00138,14.1261105,3.123149378,4.009420974,0.778952721,0.436007566,0.515591243
K00140,14.96046274,-3.23724419,0.995955219,-3.250391312,0.001152463,0.001922182
K00145,264.9342719,-3.442289195,0.686444515,-5.014664872,NA,NA
K00147,183.669971,1.175834741,0.241743613,4.863974378,1.15E-06,2.89E-06
K00148,3.084396779,3.151885168,4.869559719,0.647262864,0.517461832,0.601473975
K00150,2.836101003,-4.557540464,1.461518535,-3.118359676,0.001818607,0.002961939
K00154,5.537405314,0,4.98008961,0,1,1
K00156,3.829629969,-4.366123926,1.521071271,-2.870426922,0.004099179,0.006413106
K00158,26.83199774,-0.204803251,1.10680017,-0.185040856,0.85319699,0.92737817
K00161,16.59484146,-0.249009463,0.844699674,-0.294790528,0.768153903,0.840978349
K00162,1.13146685,-2.731999798,1.719463192,-1.588867858,0.112090229,0.14436826
K00163,5.564368139,0.723242626,4.979375559,0.145247656,0.884515341,0.932415257
