KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00018,108.9735907,-2.39844333,0.908519071,-2.639948249,0.008291869,0.023653647
K00097,90.31343648,-9.407523911,1.293109637,-7.275117008,3.46E-13,1.60E-11
K00105,104.2815686,2.179827114,0.447776605,4.868113002,1.13E-06,1.14E-05
K00112,50.93320008,-7.290857761,1.161995382,-6.274429207,3.51E-10,8.20E-09
K00174,230.2057776,-3.778369583,0.846459968,-4.463730983,8.05E-06,5.97E-05
K00175,205.3729959,-4.464579029,0.988042613,-4.518609797,6.22E-06,4.78E-05
K00176,139.5555201,-4.266057786,0.661575163,-6.448334256,1.13E-10,3.00E-09
K00177,112.7466033,-3.122991025,0.809046897,-3.860086527,0.000113347,0.000587698
K00282,75.90664108,-5.207649584,0.660833399,-7.880427345,3.26E-15,3.09E-13
K00283,78.31213829,-9.161196858,1.203530061,-7.611938542,2.70E-14,1.74E-12
K00344,65.36461963,9.124743246,1.564758368,5.83140722,5.50E-09,1.00E-07
K00346,83.04381633,-9.265199923,1.345027772,-6.888482242,5.64E-12,2.01E-10
K00347,80.66911808,-9.252395443,1.205226259,-7.676895,1.63E-14,1.14E-12
K00348,84.54491336,-9.244957581,1.289259459,-7.170750244,7.46E-13,3.19E-11
K00349,82.71028091,-9.234190027,1.259988712,-7.3287879,2.32E-13,1.11E-11
K00350,82.03580594,-9.189678288,1.32104064,-6.956393325,3.49E-12,1.32E-10
K00351,71.45558916,-8.887447901,1.339556752,-6.634618418,3.25E-11,9.51E-10
K00575,99.52260685,-2.603766845,1.06805517,-2.437858003,0.014774576,0.038548558
K00595,56.92676309,-3.030334285,0.729433909,-4.154364428,3.26E-05,0.000198499
K00610,132.1492966,-3.69801157,0.646699666,-5.718282792,1.08E-08,1.83E-07
K00721,109.4044834,-9.647645309,1.215269016,-7.938691092,2.04E-15,2.37E-13
K00868,105.5249605,-3.479176313,0.784859514,-4.432865054,9.30E-06,6.70E-05
K00978,91.35415511,-2.731236377,0.647097027,-4.220752471,2.43E-05,0.000154171
K00989,79.19787853,2.567679422,0.659060985,3.895966352,9.78E-05,0.000512357
K00991,86.18241751,-2.7311343,0.89649843,-3.046446272,0.002315639,0.007950229
K00992,58.59677052,-9.008273966,1.367179307,-6.588948444,4.43E-11,1.28E-09
K01051,96.87766738,-3.366618275,0.944783458,-3.563375551,0.000366116,0.001637253
K01058,91.56000198,-9.205770147,1.248491007,-7.373517387,1.66E-13,8.34E-12
K01095,60.94855876,-8.80883191,1.236768508,-7.122458125,1.06E-12,4.44E-11
K01144,111.2754849,-9.736696694,1.265114591,-7.696296261,1.40E-14,9.99E-13
K01163,139.9587518,-3.061659656,0.851059143,-3.597469905,0.000321328,0.001474263
K01173,137.4338988,-10.2605849,1.305430725,-7.859922937,3.84E-15,3.47E-13
K01174,106.4871633,2.695206796,0.76036941,3.544601822,0.000393207,0.001743059
K01179,83.68049435,-2.644419829,0.869782041,-3.040324709,0.002363232,0.008099948
K01181,121.7399286,-3.120159482,0.829703562,-3.760571398,0.000169526,0.000839369
K01183,51.81713286,-3.059161199,0.721057572,-4.242603249,2.21E-05,0.000140773
K01185,275.1700764,-6.994259714,0.82969103,-8.429957013,3.46E-17,6.11E-15
K01193,140.8973709,-2.44652158,0.871740875,-2.806477992,0.005008633,0.015424314
K01198,434.0441863,-2.077260895,0.351562687,-5.908650074,3.45E-09,6.58E-08
K01201,74.77988429,-9.614132406,1.28871918,-7.460222951,8.64E-14,5.02E-12
K01218,111.2981605,-2.336243292,0.762914627,-3.062260456,0.002196722,0.007606197
K01222,72.42449388,2.13374192,0.855523576,2.494077287,0.012628504,0.033640151
K01224,93.7514942,-2.761265312,0.903168956,-3.057307598,0.00223335,0.007706763
