KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,281.8378753,-0.483186129,0.162104676,-2.980704453,0.002875862,0.004116331
K00004,77.76890922,2.799009676,0.406422655,6.886943045,5.70E-12,3.70E-11
K00005,44.3587501,-7.272991198,1.546566726,-4.702668872,2.57E-06,5.21E-06
K00008,27.85812423,-8.652223657,1.544661709,-5.601371232,2.13E-08,6.10E-08
K00009,167.6593868,2.101127365,0.39204989,5.359336707,8.35E-08,2.12E-07
K00010,90.00188981,-8.470383157,1.402453096,-6.039690868,1.54E-09,5.31E-09
K00012,278.9761912,-11.44335996,1.566476284,-7.305160048,2.77E-13,2.51E-12
K00013,243.0363289,-0.476836207,0.333907155,-1.428050282,0.153277386,0.185272844
K00014,363.6416987,-0.602790463,0.151926459,-3.967646369,7.26E-05,0.000124394
K00016,482.6746382,1.130655918,0.220159476,5.135622322,2.81E-07,6.59E-07
K00018,108.9735907,-10.25169334,1.481061866,-6.921853552,4.46E-12,3.05E-11
K00019,0.977084227,0,4.77436201,0,1,1
K00020,169.1346173,2.025767036,0.329313751,6.151480252,7.68E-10,2.83E-09
K00024,113.7680176,-23.85610831,1.692439522,-14.09569323,4.04E-45,1.37E-42
K00027,173.3520089,-10.6847188,1.399791894,-7.633076637,2.29E-14,2.83E-13
K00029,163.0800343,0.681470423,0.320490854,2.126333448,0.033475505,0.042953891
K00030,19.05372971,-7.577851949,1.362873426,-5.560202293,2.69E-08,7.54E-08
K00031,207.7975769,0.174558799,0.307481921,0.567704268,0.570235793,0.647307595
K00033,338.0041882,1.730339888,0.334628142,5.170933549,2.33E-07,5.52E-07
K00034,27.40060465,0,2.823530043,0,1,1
K00036,190.3132846,1.580512519,0.342484043,4.614850093,3.93E-06,7.80E-06
K00038,2.851466893,-4.454408062,2.637952572,-1.688585348,0.09129892,0.112634328
K00041,74.27084354,-9.355195855,1.429425072,-6.544726295,5.96E-11,2.85E-10
K00042,4.294569161,-5.918492727,1.512700801,-3.912533612,9.13E-05,0.000154117
K00045,6.419088747,-6.826195685,1.404658817,-4.859682366,1.18E-06,2.51E-06
K00046,141.9321613,-10.08484962,1.482164519,-6.804136442,1.02E-11,6.10E-11
K00048,46.49361852,-8.381234865,1.623093708,-5.163740591,2.42E-07,5.72E-07
K00052,252.4125035,-0.426202682,0.337725171,-1.2619808,0.206955695,0.246925419
K00053,281.2246743,-0.671206729,0.32221483,-2.083103158,0.037241822,0.047621266
K00054,118.7122126,2.103830455,0.439381235,4.788166378,1.68E-06,3.52E-06
K00057,358.1829767,-0.712737297,0.145741766,-4.890412117,1.01E-06,2.18E-06
K00058,170.1330341,-10.55714341,1.477087226,-7.147271487,8.85E-13,7.31E-12
K00059,518.7298562,-1.423087834,0.222945917,-6.383107851,1.74E-10,7.52E-10
K00060,28.31689995,-21.54224029,1.884450616,-11.43157592,NA,NA
K00065,31.13964727,-7.532732046,1.576215438,-4.778999027,1.76E-06,3.67E-06
K00067,494.8586866,-0.547048898,0.146523132,-3.733532656,0.000188813,0.000307871
K00068,37.67662251,-6.378155689,1.587164297,-4.018585664,5.85E-05,0.000101233
K00073,41.30759656,-6.091333493,1.61978033,-3.760592335,0.000169511,0.000277401
K00074,55.51797617,-9.314131577,1.505245815,-6.18778108,6.10E-10,2.29E-09
K00075,403.6215438,-1.023502531,0.229716835,-4.455496406,8.37E-06,1.58E-05
K00076,26.63231144,-8.100802076,1.247194064,-6.495221803,8.29E-11,3.84E-10
K00077,414.4970276,1.539202838,0.140226036,10.97658384,4.95E-28,2.01E-26
K00078,56.68948534,-7.875079627,1.460928023,-5.390463802,7.03E-08,1.81E-07
K00087,10.68803099,-7.341374182,1.423108037,-5.15869069,2.49E-07,5.86E-07
K00088,428.3365772,-0.399433641,0.109588648,-3.644845069,0.000267553,0.000429035
K00090,1.136077567,0,4.77436201,0,1,1
K00091,100.5347059,2.161821247,0.472082243,4.579331838,4.66E-06,9.15E-06
K00096,16.81642648,-7.156136852,1.435119991,-4.986437995,6.15E-07,1.37E-06
K00097,90.31343648,-9.586434914,1.293109637,-7.413474187,1.23E-13,1.25E-12
K00098,4.427504057,-6.487938899,1.451716487,-4.469150112,7.85E-06,1.49E-05
K00099,239.172832,-11.16565367,1.380567619,-8.087726757,6.08E-16,1.16E-14
K00100,46.43421632,-4.399189685,1.745546342,-2.520236547,0.011727599,0.015743953
K00104,57.05777809,-8.407739134,1.606879742,-5.232338746,1.67E-07,4.05E-07
K00105,104.2815686,2.994904614,0.444738322,6.734082645,1.65E-11,9.49E-11
K00111,251.9843233,-0.173607664,0.160367598,-1.082560727,0.279003447,0.329024953
K00112,50.93320008,-8.428094032,1.187444143,-7.097676197,1.27E-12,1.01E-11
K00113,48.17271909,-8.225476484,1.188818915,-6.919032312,4.55E-12,3.09E-11
K00116,1.568969989,0,4.77436201,0,1,1
K00121,2.526971305,0,4.547833282,0,1,1
K00123,28.38083195,-1.024686162,2.23391113,-0.458696028,0.646452467,0.726923728
K00124,12.10527124,-7.823628062,1.389974308,-5.628613435,1.82E-08,5.27E-08
K00125,15.42093377,-7.868168585,1.452436026,-5.41722213,6.05E-08,1.58E-07
K00127,1.218951391,-3.500381284,1.854339662,-1.887669964,0.059070271,0.074179997
K00132,44.24578452,-7.603577353,1.566828103,-4.852847189,1.22E-06,2.60E-06
K00133,371.851776,-0.640507018,0.139515706,-4.590931291,4.41E-06,8.69E-06
K00134,585.0390124,0.423118044,0.069588461,6.080290339,1.20E-09,4.22E-09
K00138,1.660610385,0,4.77436201,0,1,1
K00140,35.99349269,-6.683585923,1.419197247,-4.709412969,2.48E-06,5.06E-06
K00145,311.3997082,-0.64103797,0.30260567,-2.118393782,0.034141732,0.043753512
K00147,254.6958652,0.043186697,0.184435914,0.234155571,0.814864205,0.903331742
K00150,2.308256996,-4.791110851,1.830172891,-2.617846038,0.008848672,0.012009967
K00154,1.19313467,0,4.77436201,0,1,1
K00156,23.00884475,-20.9432772,1.941567193,-10.7867898,NA,NA
K00158,128.2167402,2.463790426,0.402672305,6.118599163,9.44E-10,3.39E-09
K00161,5.12760708,-6.012034402,1.44034469,-4.174024763,2.99E-05,5.37E-05
K00162,3.537185317,-5.553573464,1.922798863,-2.88827582,0.0038736,0.005454169
K00163,1.160043127,0,4.77436201,0,1,1
K00164,18.18907752,-17.97104895,2.518587526,-7.135368045,NA,NA
K00169,38.89054841,-8.982105756,1.446526257,-6.209431536,5.32E-10,2.02E-09
K00170,26.27590319,-8.434152766,1.38362667,-6.095685307,1.09E-09,3.86E-09
K00171,28.45572368,-8.618154466,1.386340658,-6.216476749,5.08E-10,1.95E-09
K00172,41.69400774,-9.141054124,1.439994727,-6.347977499,2.18E-10,9.23E-10
K00174,230.2057776,-11.01851716,1.440282157,-7.650249016,2.01E-14,2.52E-13
K00175,205.3729959,-10.66122822,1.517513922,-7.025456618,2.13E-12,1.61E-11
K00176,139.5555201,-10.40736182,1.327628468,-7.839061961,4.54E-15,6.73E-14
K00177,112.7466033,-10.14669913,1.416943052,-7.160978781,8.01E-13,6.70E-12
K00179,106.8762731,-10.48116585,1.481519824,-7.074603851,1.50E-12,1.18E-11
K00180,113.8165705,-10.5535866,1.470079297,-7.178923354,7.03E-13,5.94E-12
K00184,3.649667649,-5.357983973,1.387761306,-3.860882955,0.000112978,0.000188374
K00185,2.458944344,-4.770880724,1.460650432,-3.266271394,0.001089738,0.001632197
K00194,10.6726249,-7.204207999,1.449011391,-4.971809086,6.63E-07,1.48E-06
K00196,4.165475339,-6.009676927,1.565176505,-3.839616113,0.000123227,0.000204958
K00197,10.8693906,-7.252971,1.481739809,-4.894901896,9.84E-07,2.13E-06
K00198,19.046322,-8.047863788,1.490399956,-5.399801411,6.67E-08,1.72E-07
K00208,213.8857356,1.003258903,0.30902217,3.246559634,0.00116809,0.00174441
