KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,281.8378753,0.411561625,0.176804213,2.327781773,0.019923694,0.055852137
K00004,77.76890922,-0.888412466,0.437098541,-2.032522149,0.042100824,0.102945346
K00005,44.3587501,9.726773288,1.612721461,6.031279127,1.63E-09,2.07E-08
K00008,27.85812423,3.200994784,1.689322035,1.894839893,0.058113616,0.133726383
K00009,167.6593868,-0.159876348,0.428430754,-0.373167301,0.709023932,1
K00010,90.00188981,10.54471009,1.445746334,7.293610119,3.02E-13,1.07E-11
K00012,278.9761912,9.365284463,1.642022701,5.703504866,1.17E-08,1.26E-07
K00013,243.0363289,-0.634563453,0.370153159,-1.714326727,0.086468737,0.185834022
K00014,363.6416987,0.115866703,0.166939777,0.69406288,0.487642776,0.764757045
K00016,482.6746382,-0.054004418,0.241531204,-0.223591889,0.823074875,1
K00018,108.9735907,7.876943224,1.543500557,5.103297947,3.34E-07,2.97E-06
K00019,0.977084227,5.115354589,5.191489528,0.985334664,0.324459711,NA
K00020,169.1346173,-0.170461228,0.358379715,-0.475644186,0.63432789,0.94256104
K00024,113.7680176,19.79047713,1.798788205,11.00211635,3.73E-28,2.08E-25
K00027,173.3520089,9.846467039,1.445263055,6.812923781,9.56E-12,2.32E-10
K00029,163.0800343,-0.768593303,0.353167515,-2.176285388,0.029533927,0.077611027
K00030,19.05372971,0,1.72853892,0,1,1
K00031,207.7975769,-0.551706034,0.339540789,-1.624859376,0.104192526,0.216767082
K00033,338.0041882,-0.097092871,0.367694738,-0.264058363,0.791734947,1
K00034,27.40060465,9.382423525,2.954500073,3.175638278,0.001495072,0.005322022
K00036,190.3132846,-0.170771655,0.375047258,-0.455333698,0.648869187,0.959059112
K00038,2.851466893,0,3.018903237,0,1,1
K00041,74.27084354,7.611332734,1.482614475,5.133723474,2.84E-07,2.57E-06
K00042,4.294569161,3.652084542,1.61999698,2.254377377,0.024172437,0.06550546
K00045,6.419088747,2.972580805,1.538956237,1.931556424,0.053414279,0.125049615
K00046,141.9321613,9.801427532,1.542309493,6.355032873,2.08E-10,3.23E-09
