KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00012,309.1274799,-10.01431114,1.276197319,-7.846992773,4.26E-15,1.38E-13
K00013,193.8834438,-7.311927694,0.579068516,-12.62705102,1.50E-36,5.03E-34
K00024,144.8594097,-8.616296513,1.431422027,-6.019396343,1.75E-09,1.75E-08
K00027,163.8844893,-2.911096191,1.202512428,-2.420844995,0.015484478,0.048803168
K00053,237.2098921,-4.038572964,1.072021744,-3.767249114,0.000165056,0.000698984
K00058,140.1902932,-4.101074932,1.211274285,-3.385752496,0.000709834,0.00273645
K00077,152.1253365,-4.152178577,0.835290002,-4.970942506,6.66E-07,3.93E-06
K00097,134.6252301,-9.936018886,1.977769439,-5.023850955,5.06E-07,3.04E-06
K00099,291.4447147,-7.764525983,0.648323215,-11.97631954,4.73E-33,8.32E-31
K00174,340.4158873,-8.124529079,1.271188932,-6.391283685,1.64E-10,2.03E-09
K00175,324.7242687,-9.027015796,1.486330537,-6.073356884,1.25E-09,1.28E-08
K00208,97.71407283,-4.071687643,1.017894951,-4.000105944,6.33E-05,0.000286097
K00239,185.1567603,-7.652436988,0.776999176,-9.848706693,6.94E-23,5.83E-21
K00240,196.6187004,-7.805085776,0.788076588,-9.903968594,4.00E-23,3.44E-21
K00241,182.211466,-7.384274014,1.309182922,-5.640368422,1.70E-08,1.33E-07
K00244,107.6043155,6.922338322,1.64350799,4.211928609,2.53E-05,0.000121569
K00249,143.7125199,-9.624369427,1.203655401,-7.995950847,1.29E-15,4.57E-14
K00278,209.2238982,-9.908542718,1.287868398,-7.693754059,1.43E-14,4.09E-13
K00282,137.6367476,-6.307494701,1.11338262,-5.665163606,1.47E-08,1.16E-07
K00283,138.1775195,-6.829095103,1.151728303,-5.92943239,3.04E-09,2.73E-08
K00297,204.3879482,-8.603808208,1.232441716,-6.981107582,2.93E-12,4.77E-11
K00330,150.7437351,-9.078154002,1.654336083,-5.487490781,4.08E-08,2.97E-07
K00331,140.7587094,-9.908541258,1.611735026,-6.147748296,7.86E-10,8.60E-09
K00334,64.40470386,-8.860381687,1.482350289,-5.977252308,2.27E-09,2.15E-08
K00337,149.3785047,-9.962988503,1.664373354,-5.986029806,2.15E-09,2.07E-08
K00338,112.6895195,-10.13883559,1.960196824,-5.17235589,2.31E-07,1.48E-06
K00340,151.5305515,-9.880526372,1.666689665,-5.92823402,3.06E-09,2.74E-08
K00341,143.1310514,-8.917681334,1.659194886,-5.374703967,7.67E-08,5.24E-07
K00343,150.225399,-9.962988426,1.670932469,-5.962532065,2.48E-09,2.33E-08
K00375,64.48326087,-7.034756189,1.147559773,-6.130187165,8.78E-10,9.46E-09
K00390,53.58139858,-8.718507336,1.050774746,-8.297218193,1.07E-16,4.19E-15
K00459,196.1980004,-7.441893343,0.971767534,-7.658100405,1.89E-14,5.29E-13
K00547,58.04848508,9.120548897,2.420319483,3.768324373,0.000164347,0.000696779
K00548,229.4109963,-10.29556591,1.232667103,-8.352267924,6.70E-17,2.69E-15
K00605,163.0617429,-6.717491777,0.98933039,-6.789937762,1.12E-11,1.64E-10
K00606,200.0657462,-7.805781552,0.865331049,-9.020572606,1.87E-19,9.74E-18
K00616,62.82577443,-7.34950118,1.139158619,-6.451692555,1.11E-10,1.40E-09
K00620,130.9239893,-3.438307043,1.362523872,-2.523483893,0.011619838,0.037682932
K00626,172.6124871,-5.756186027,0.770849922,-7.467323874,8.18E-14,2.07E-12
K00639,78.4906501,-7.22520917,0.872233848,-8.283568895,1.20E-16,4.65E-15
K00641,97.82923177,-8.831228158,1.228569776,-7.188218636,6.56E-13,1.30E-11
K00645,255.2872532,-4.31738184,1.004987843,-4.295954295,1.74E-05,8.55E-05
K00652,154.751758,-7.513264853,1.52186152,-4.93689127,7.94E-07,4.64E-06
K00656,220.1015126,7.135092555,1.49705016,4.766101194,1.88E-06,1.07E-05
K00657,87.50659543,-3.451801532,1.212923793,-2.845851942,0.004429278,0.015610145
K00677,294.5701898,-9.822809571,1.786862429,-5.497238853,3.86E-08,2.83E-07
K00684,54.82362715,-10.13884301,1.277114877,-7.938865318,2.04E-15,6.86E-14
K00688,458.6734225,5.774555337,1.041387821,5.545057493,2.94E-08,2.23E-07
K00690,77.32794163,8.604256216,2.137251717,4.025850651,5.68E-05,0.000258152
K00691,94.61727835,9.412920233,2.211560925,4.256233743,2.08E-05,0.000101265
K00700,389.3568673,9.174722584,2.04567657,4.484933112,7.29E-06,3.84E-05
K00703,196.0879172,9.166248163,2.100041508,4.364793805,1.27E-05,6.38E-05
K00748,164.1193412,-9.600418707,1.660992732,-5.779928187,7.47E-09,6.25E-08
K00765,201.7761647,-8.199352649,0.717116778,-11.43377605,2.84E-30,4.19E-28
K00766,140.9176479,-8.907569387,0.797124966,-11.174621,5.43E-29,6.92E-27
K00767,205.1079065,-8.448757096,1.086388539,-7.776920315,7.43E-15,2.27E-13
K00782,61.82651451,9.119179992,2.279873577,3.999862134,6.34E-05,0.000286097
K00788,211.6875413,-6.269905289,0.571113853,-10.97838068,4.86E-28,5.61E-26
K00793,238.2961539,-4.829217523,0.789836489,-6.114199068,9.70E-10,1.03E-08
K00794,240.0912953,-4.543743422,0.79032029,-5.749243033,8.96E-09,7.33E-08
K00796,231.2759748,-6.668176334,0.506975313,-13.152862,1.64E-39,8.65E-37
K00817,213.0991291,-8.542890234,0.914935808,-9.337147111,9.90E-21,6.10E-19
K00833,155.0625962,-8.830904868,1.366084816,-6.464389888,1.02E-10,1.29E-09
K00848,120.4423313,-8.333701617,1.061393978,-7.85165715,4.11E-15,1.34E-13
K00849,301.5233449,6.690599939,1.469071331,4.554305702,5.26E-06,2.88E-05
K00874,278.6110557,-4.156370611,1.031644857,-4.028877362,5.60E-05,0.000255165
K00878,69.9608083,-6.47089657,0.765616088,-8.451881659,2.87E-17,1.19E-15
K00887,58.39274196,8.985855319,2.24953282,3.994542885,6.48E-05,0.000291884
K00891,337.0416628,-4.003035926,0.993270947,-4.030155053,5.57E-05,0.000254095
K00912,163.1534827,-8.973168378,1.662066758,-5.398801422,6.71E-08,4.63E-07
K00928,53.17787409,-9.962992132,1.411252349,-7.059681521,1.67E-12,2.92E-11
