KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K03491,99.87421598,7.662138304,1.704888367,4.494217013,6.98E-06,4.51E-05
K03492,104.5600883,10.47029656,1.609310455,6.506076267,7.71E-11,1.33E-09
K03517,178.2972383,5.872871127,1.510477162,3.888089985,0.000101036,0.000477659
K03521,250.0133585,7.929280352,1.476690732,5.369628304,7.89E-08,7.78E-07
K03522,317.1409231,6.31511316,1.330488898,4.746460621,2.07E-06,1.57E-05
K03525,260.9143089,6.486157838,1.522203383,4.261032336,2.03E-05,0.000118421
K03526,250.8360649,7.244434164,1.432821569,5.056061633,4.28E-07,3.75E-06
K03527,249.9350159,7.607227705,1.43339348,5.307145462,1.11E-07,1.07E-06
K03534,96.57687376,9.522303031,1.40268661,6.788617615,1.13E-11,2.63E-10
K03543,68.7301402,5.06750415,1.688161872,3.00178806,0.00268399,0.009121827
K03558,170.017987,6.648662136,1.390577451,4.781223896,1.74E-06,1.35E-05
K03559,430.6957731,21.33963338,1.948042532,10.95439808,6.33E-28,2.64E-25
K03561,315.4163364,21.33858899,1.949016977,10.94838539,6.76E-28,2.64E-25
K03563,130.4994832,5.263637049,1.587740724,3.315174177,0.00091586,0.003455493
K03564,175.4407986,7.358838998,1.431980668,5.138923425,2.76E-07,2.50E-06
K03568,64.29066825,5.327184374,1.60941218,3.310018676,0.000932897,0.003512984
K03569,323.3545312,6.639746383,1.531991138,4.33406318,1.46E-05,8.77E-05
K03585,452.3428119,20.13029969,1.9394162,10.37956664,3.07E-25,2.93E-23
K03587,116.0230621,6.735369469,1.446132833,4.657504011,3.20E-06,2.24E-05
K03588,160.2887329,8.678118097,1.31523541,6.598148156,4.16E-11,7.78E-10
K03592,55.34602929,6.635886628,1.523950118,4.354398841,1.33E-05,8.13E-05
K03593,237.9369296,7.296468358,1.463694819,4.984965624,6.20E-07,5.25E-06
K03594,63.97288899,6.295435637,1.48480905,4.239895788,2.24E-05,0.000128419
K03606,89.93754406,4.384834694,1.432145024,3.061725327,0.002200653,0.007577934
K03609,52.86693271,6.72431191,1.442332881,4.662108172,3.13E-06,2.20E-05
K03613,172.399956,6.585033332,1.642790022,4.008444928,6.11E-05,0.000307965
K03614,168.2553666,5.540145991,1.623968862,3.411485355,0.0006461,0.002533009
K03615,217.7406019,6.538218685,1.644066455,3.97685791,6.98E-05,0.000343443
K03616,138.877449,5.7211696,1.522603199,3.757492172,0.000171625,0.000765937
K03617,175.0548398,5.611668367,1.633514379,3.43533454,0.000591823,0.002341507
K03628,253.985775,9.917350498,1.347972778,7.357233512,1.88E-13,7.19E-12
K03634,81.64586999,5.829352284,1.325939236,4.39639474,1.10E-05,6.84E-05
K03639,51.10765869,9.528326996,1.374939255,6.929998517,4.21E-12,1.10E-10
K03640,86.50906876,5.738929591,1.270571548,4.516809462,6.28E-06,4.11E-05
K03644,70.48540648,19.47908009,1.851180414,10.52251847,6.80E-26,9.84E-24
K03652,71.73830476,9.728955435,1.423844614,6.832877227,8.32E-12,2.06E-10
K03668,223.2993421,6.721939569,1.368444681,4.912101792,9.01E-07,7.39E-06
K03688,62.41742096,7.476226202,1.506439552,4.962845133,6.95E-07,5.82E-06
K03696,147.7351876,9.986235235,1.460472096,6.837676163,8.05E-12,2.01E-10
K03711,115.2182495,10.81596545,1.413248555,7.653264823,1.96E-14,9.10E-13
K03719,146.952279,7.932948616,1.408494863,5.63221693,1.78E-08,1.87E-07
K03724,65.87705077,5.487580959,1.424225147,3.853029114,0.000116666,0.000538509
K03733,75.71630488,10.0491442,1.511756697,6.647329045,2.98E-11,5.86E-10
K03742,180.1392643,9.940250322,1.467468146,6.773741801,1.25E-11,2.87E-10
K03743,141.6262828,4.276604138,1.601285638,2.67073159,0.007568614,0.02362545
K03744,235.1072515,8.89448178,1.275123737,6.975387191,3.05E-12,8.27E-11
K03750,50.65670451,9.398839843,1.370334562,6.858792081,6.94E-12,1.77E-10
K03767,99.65991688,6.73573694,1.221236331,5.515506516,3.48E-08,3.57E-07
K03770,89.89803724,5.552686439,1.425752269,3.89456609,9.84E-05,0.000467909
K03771,166.7840581,5.103306615,1.297424665,3.933412669,8.37E-05,0.000403749
K03772,190.4030469,6.601900194,1.383559327,4.771678428,1.83E-06,1.40E-05
K03775,76.4897388,5.449496278,1.309917884,4.160181599,3.18E-05,0.000173917
K03778,103.3489739,5.906065514,1.498309695,3.941818926,8.09E-05,0.000391303
K03781,106.0610217,8.53403892,1.400688686,6.092744953,1.11E-09,1.46E-08
K03783,210.5307643,9.8985335,1.376655792,7.190274836,6.47E-13,2.14E-11
K03786,183.5757883,5.950212509,1.426386207,4.171529759,3.03E-05,0.000166409
K03787,123.5892194,5.347525864,1.396222739,3.829994825,0.000128146,0.00058596
K03797,502.9848063,10.00790571,1.266500005,7.902017898,2.74E-15,1.47E-13
K03801,65.15431718,19.59370405,1.867156294,10.49387462,9.22E-26,1.24E-23
K03826,87.79245142,9.411028416,1.32912925,7.080596878,1.44E-12,4.34E-11
K03828,73.33608526,6.904216284,1.742916568,3.961300508,7.45E-05,0.000362954
K03832,581.0826977,19.75550019,1.890170757,10.45170132,1.44E-25,1.65E-23
