KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00024,113.7680176,3.813491408,1.361557901,2.800829408,0.005097146,0.018866686
K00058,170.1330341,2.655032242,0.989053912,2.684416096,0.007265662,0.024888078
K00097,90.31343648,-5.465786932,1.333621956,-4.098453019,4.16E-05,0.000449909
K00099,239.172832,3.51177702,0.808110807,4.345662737,1.39E-05,0.000193689
K00104,57.05777809,4.2039092,1.219873517,3.446184496,0.000568562,0.003474546
K00174,230.2057776,3.783028645,1.038723386,3.641998144,0.00027053,0.001955089
K00175,205.3729959,6.50825354,1.490288462,4.367109929,1.26E-05,0.000184829
K00176,139.5555201,6.452907359,1.24919699,5.165644339,2.40E-07,7.43E-06
K00177,112.7466033,3.682223312,1.008762484,3.65023816,0.000261997,0.001915916
K00179,106.8762731,5.063605153,1.088513949,4.651851413,3.29E-06,6.35E-05
K00180,113.8165705,5.338197166,1.08811703,4.90590352,9.30E-07,2.30E-05
K00239,139.5916961,3.748498642,1.314114874,2.852489319,0.004337827,0.016617121
K00240,143.9137797,3.663858826,1.329245235,2.756345278,0.005845126,0.021139084
K00241,133.0455283,4.080348272,1.395317063,2.924316186,0.003452139,0.013926242
K00248,135.8320579,3.081090548,1.188731403,2.591914826,0.00954434,0.030700698
K00249,166.6942649,2.135954155,0.868804135,2.458499066,0.013951914,0.041478353
K00278,165.1298057,4.627204707,0.985769403,4.694003176,2.68E-06,5.37E-05
K00282,75.90664108,4.261853174,1.22863798,3.468762355,0.000522862,0.003277328
K00290,139.3707651,10.14050178,1.573970105,6.442626674,1.17E-10,8.99E-09
K00330,115.5189253,4.075973948,1.47407072,2.765114246,0.005690286,0.020693824
K00331,102.668821,4.025972265,1.477782234,2.72433392,0.006443133,0.022687496
K00334,79.28425131,3.61157867,1.134950699,3.182145861,0.001461882,0.007226137
K00335,74.41090333,5.603105358,1.15998004,4.830346354,1.36E-06,3.11E-05
K00337,109.637335,3.7552282,1.500318219,2.502954474,0.012316139,0.037590633
K00338,84.67505707,3.845725865,1.484003064,2.591454126,0.009557128,0.030716531
K00340,108.6984451,3.839953785,1.335077504,2.876202897,0.004024909,0.01571727
K00343,108.1063803,3.97858156,1.392882359,2.856365819,0.004285211,0.016470225
K00346,83.04381633,-3.914613851,1.426234894,-2.744718887,0.006056275,0.02163747
K00348,84.54491336,-3.570668721,1.374228153,-2.598308521,0.009368428,0.030461041
K00350,82.03580594,-3.902489316,1.398688887,-2.790105328,0.00526909,0.019356346
K00351,71.45558916,-4.324769899,1.407803966,-3.071997242,0.002126317,0.009666202
K00548,219.7674352,3.48183906,0.897429178,3.879792576,0.000104546,0.000910506
K00567,200.2104574,2.868842476,0.985946872,2.90973333,0.003617373,0.014488041
K00598,50.81049088,3.869816757,1.253447876,3.087337599,0.002019581,0.009278192
K00605,124.5056755,24.73991691,1.859237724,13.30648394,2.12E-40,7.53E-38
K00606,138.3977886,3.969643159,1.240378353,3.200348628,0.001372614,0.006874999
K00610,132.1492966,2.693420917,0.794110052,3.391747671,0.000694484,0.004096131
K00639,76.45143521,24.70943005,1.85040404,13.35353226,1.13E-40,5.20E-38
K00652,132.8893245,4.157394499,1.391370199,2.987985874,0.002808225,0.011919696
K00662,76.54476606,2.836740404,1.133428367,2.50279637,0.012321641,0.037590633
K00677,217.2906957,4.20153347,1.479823518,2.839212527,0.004522502,0.017129362
K00682,74.49324676,3.845735845,1.185256366,3.244644751,0.001175972,0.006034391
K00683,119.149757,24.74621785,1.852607577,13.35750655,1.07E-40,5.20E-38
K00748,130.7777544,4.426486605,1.457497203,3.037046381,0.002389087,0.010529779
K00757,159.0740273,3.590585479,1.336169233,2.687223587,0.007204871,0.024744961
K00767,155.6001646,6.242667854,1.151136129,5.423049191,5.86E-08,2.29E-06
K00768,93.05491441,5.410644351,1.100836745,4.915028843,8.88E-07,2.23E-05
K00821,146.0610205,2.442219276,0.966751781,2.526211303,0.011530011,0.035505474
K00833,127.6692356,4.237777631,1.209991708,3.502319565,0.000461226,0.002996818
K00847,211.0759368,4.286108085,0.986303297,4.345628874,1.39E-05,0.000193689
K00868,105.5249605,3.742373883,0.982289006,3.809850117,0.000139051,0.001150412
K00895,123.3268532,3.206971245,1.133401601,2.829510072,0.004661933,0.017555303
K00912,126.9201728,3.952350894,1.401764876,2.819553381,0.004809053,0.017936344
K00928,70.15005517,3.917075186,1.128838269,3.470005664,0.000520447,0.003267439
K00937,142.0008238,3.366639373,0.8055948,4.179072871,2.93E-05,0.000347195
K00946,128.6113562,3.912471346,1.48111973,2.64156318,0.008252441,0.027780848
K00956,51.22732071,4.020618152,1.317776571,3.0510621,0.002280334,0.010153597
K00957,50.32870504,3.714492805,1.193565121,3.112098987,0.001857622,0.008718767
K00970,170.3973375,4.069152578,0.988171095,4.117862382,3.82E-05,0.000423026
K00978,91.35415511,3.430416771,0.799191399,4.292359473,1.77E-05,0.000233224
K00992,58.59677052,-5.335298984,1.422423825,-3.750850407,0.000176236,0.001387502
K01002,74.16279614,3.054850545,1.092827154,2.795364787,0.005184118,0.01911613
K01009,102.5208454,9.945610032,1.586299391,6.269692901,3.62E-10,2.32E-08
K01012,206.8668398,3.306454406,1.118555674,2.956003427,0.003116536,0.012810604
K01026,51.3121416,3.10049017,1.167986916,2.654558992,0.007941215,0.026872137
K01051,96.87766738,6.212929778,1.453408682,4.274730058,1.91E-05,0.000248271
K01058,91.56000198,-5.000830882,1.286818142,-3.886198617,0.000101826,0.000892212
K01092,118.4697232,3.34839288,1.08395929,3.089039333,0.002008049,0.009246969
K01095,60.94855876,-5.419761599,1.266058264,-4.280815309,1.86E-05,0.000243194
K01156,153.6059576,3.736593148,1.257122214,2.972338813,0.002955403,0.012320876
K01163,139.9587518,4.408541279,1.062841631,4.147881631,3.36E-05,0.000383153
K01173,137.4338988,-5.581101622,1.347617995,-4.141456735,3.45E-05,0.000390621
K01179,83.68049435,2.962050126,1.045786941,2.832364806,0.00462051,0.017432939
K01181,121.7399286,3.247531632,1.056191287,3.074757074,0.002106741,0.00959956
K01183,51.81713286,5.993703011,1.284961794,4.664499005,3.09E-06,6.13E-05
K01187,110.3859884,6.729432374,1.121920798,5.99813497,2.00E-09,1.11E-07
K01192,65.00048505,4.113137535,1.115694532,3.686616201,0.000227256,0.001723172
K01197,65.78588714,24.63678374,1.877211196,13.12414064,2.39E-39,5.20E-37
K01205,91.60775565,25.49973993,1.936828357,13.16572005,1.38E-39,3.37E-37
K01218,111.2981605,7.313091123,1.319508722,5.542283275,2.99E-08,1.28E-06
K01251,116.22483,4.843328238,1.189137012,4.072977453,4.64E-05,0.000491228
K01267,142.8672,3.228645554,1.113290865,2.90009166,0.003730536,0.014774585
K01270,213.5017768,8.027841626,1.37832103,5.824362722,5.73E-09,3.03E-07
K01273,135.9009707,3.179377091,0.971074845,3.274080373,0.001060065,0.005593989
K01338,221.9998037,2.755655324,0.976566962,2.82177816,0.00477582,0.01786358
K01425,125.9613109,4.301524121,1.15779208,3.715282041,0.000202977,0.001560287
K01447,465.6998166,2.319914111,0.686533978,3.379168673,0.000727054,0.004224919
K01448,737.2271961,3.58045676,1.022019935,3.503314013,0.000459507,0.002990627
K01449,201.6591661,4.092934647,0.981392575,4.170537615,3.04E-05,0.000355287
K01567,64.33149084,4.983298132,1.071927319,4.648914199,3.34E-06,6.36E-05
K01585,74.13922272,4.744047458,1.118626005,4.240959389,2.23E-05,0.000284027
K01609,71.18194234,3.123736058,0.948884755,3.292007847,0.000994748,0.00535054
K01620,133.2130545,3.899182833,0.839775526,4.643125112,3.43E-06,6.44E-05
K01627,119.6007806,4.270002601,1.385119495,3.082768393,0.002050847,0.009399715
K01628,54.01468597,6.584435547,1.305147018,5.044976126,4.54E-07,1.30E-05
K01677,75.57862084,8.556119636,1.389214393,6.158962706,7.32E-10,4.54E-08
K01678,76.59486243,8.505728035,1.386337801,6.135393573,8.49E-10,5.10E-08
K01679,53.62844798,2.274778426,0.892347252,2.549207631,0.0107968,0.033796217
K01692,94.29370722,2.314763461,0.85074584,2.720863684,0.006511161,0.02290638
K01698,68.12237028,4.155181822,0.911454202,4.55884872,5.14E-06,8.62E-05
K01709,69.25874136,3.553197477,0.975731454,3.641573163,0.000270977,0.001955089
K01715,87.20492682,3.111476376,0.878880576,3.540272092,0.000399715,0.002691781
K01719,211.0996081,3.515759791,0.993437394,3.538984755,0.000401669,0.002691781
K01749,73.21518661,3.62616703,0.967101091,3.74952222,0.000177172,0.001389269
K01787,88.70552638,6.177838187,1.310400814,4.714464554,2.42E-06,4.91E-05
K01808,251.4112839,3.97311411,0.927253099,4.284821601,1.83E-05,0.000240461
K01811,211.7356387,3.608919605,1.243106473,2.903146016,0.003694343,0.014675902
K01818,84.94694807,10.12379341,1.530199857,6.615994221,3.69E-11,3.20E-09
K01845,80.22985798,6.611197494,1.005713734,6.573637475,4.91E-11,4.08E-09
K01847,113.1360052,24.41259028,1.836733799,13.29130563,2.60E-40,8.46E-38
K01880,245.8734166,3.919854815,0.986178851,3.974790995,7.04E-05,0.000670908
K01886,192.3921004,4.547538265,1.130566201,4.022354695,5.76E-05,0.000582909
K01897,78.92820285,-5.277980628,1.213126619,-4.350725261,1.36E-05,0.000192015
K01912,171.6214776,5.77024194,1.10596996,5.217358654,1.81E-07,5.86E-06
K01914,171.7662767,2.842091326,1.155266402,2.460117702,0.013889146,0.041402377
K01918,135.0875114,4.021707862,1.289940883,3.11774587,0.001822399,0.00862602
K01928,237.8906626,3.707754893,0.98632533,3.759160167,0.000170485,0.001350391
K01935,131.3370743,4.27866019,1.177696658,3.633074918,0.000280064,0.002003899
K01950,151.27887,4.076115153,0.819639531,4.973058274,6.59E-07,1.76E-05
K01952,223.6197771,2.812927291,0.739932302,3.801600882,0.000143764,0.001184386
K01991,287.1787801,3.439926524,1.323758438,2.598605927,0.009360316,0.030460029
K02006,63.06268433,6.377642012,1.333842727,4.781404795,1.74E-06,3.80E-05
K02008,71.27516419,5.292886772,1.335896393,3.962048853,7.43E-05,0.000697543
K02065,126.6052712,24.69993826,1.834695966,13.4626874,2.59E-41,2.53E-38
K02066,139.966266,4.079518645,1.466183983,2.782405681,0.005395755,0.019784434
K02067,132.6163208,3.754750232,1.472739177,2.549501155,0.010787715,0.033796217
K02116,68.74567916,2.967622931,0.9712865,3.055352804,0.002247959,0.010043799
K02121,55.63084019,6.317989005,1.358883849,4.649395906,3.33E-06,6.36E-05
K02169,63.44981461,-5.099094154,1.303661205,-3.911364497,9.18E-05,0.000822371
