KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00003,236.1860868,-0.482543976,0.263730017,-1.829689244,0.06729642,0.101891765
K00004,10.25640369,-0.502115084,1.532123661,-0.327724907,0.74311967,0.87521556
K00005,26.0864701,0.713147125,0.821019926,0.868611227,0.385059812,0.502440377
K00008,31.05695416,6.526879123,1.341161462,4.866587138,1.14E-06,4.12E-06
K00009,79.98419707,-3.399944809,0.675829892,-5.030770091,4.89E-07,1.90E-06
K00010,49.74067249,-0.090708186,1.05112905,-0.086295955,0.931231154,1
K00012,309.1274799,10.43299711,1.223866962,8.524616999,1.53E-17,4.45E-16
K00013,193.8834438,6.761653383,0.527519309,12.81783107,1.30E-37,2.96E-35
K00014,295.3489271,3.816869108,0.723467412,5.275799633,NA,NA
K00016,274.4534769,-0.033157704,0.204026063,-0.162517003,0.87089874,0.982047429
K00018,139.184888,2.292941231,0.905991296,2.530864526,NA,NA
K00020,36.04881371,-0.521222325,1.000345169,-0.521042477,0.602337181,0.728291747
K00024,144.8594097,7.309703553,1.156436475,6.320886369,2.60E-10,1.73E-09
K00027,163.8844893,2.715641922,0.850845171,3.191699284,0.001414385,0.002856722
K00029,172.4365005,-0.968097788,0.396888292,-2.439219822,0.014719012,0.024772054
K00030,16.44550719,8.115570803,1.415599077,5.73295853,9.87E-09,4.96E-08
K00031,127.4662142,2.289714568,0.972547226,2.354347951,0.018555233,0.030746699
K00033,114.2720885,-1.059020087,0.443750816,-2.386519751,0.017008694,0.02832242
K00034,7.32855616,-1.423094133,5.976757548,-0.238104712,0.81179988,0.924669242
K00036,94.51645709,-1.526743072,0.506099606,-3.016684967,0.002555553,0.004918596
K00038,21.56371819,3.163391036,0.790870671,3.999884116,6.34E-05,0.000166178
K00041,117.4614024,3.31935716,0.905331004,3.666456961,0.000245934,0.00056962
K00042,6.065640877,5.267334943,1.479197705,3.56094045,0.000369529,0.000824132
K00045,1.438749009,0,1.896934698,0,1,1
K00046,138.6979358,3.010372861,0.918783955,3.276475219,0.001051115,0.002163625
K00048,74.95791515,1.066092121,1.130195016,0.943281563,0.345536904,0.455662859
K00052,217.9509138,3.597033422,0.791036328,4.547241759,NA,NA
K00053,237.2098921,3.729989381,0.763346948,4.886361821,1.03E-06,3.76E-06
K00054,81.93265834,-2.247047326,0.724253147,-3.102571711,0.001918471,0.003794247
K00055,4.61017288,6.184811872,1.991658063,3.105358287,0.001900487,0.003764142
K00057,364.3662717,0.382713434,0.126450946,3.026576274,0.002473404,0.004783007
K00058,140.1902932,2.757756047,0.860767616,3.203833412,0.001356109,0.002748525
K00059,441.3526382,3.973082254,0.716752181,5.543174279,NA,NA
K00060,13.08979827,7.666174036,1.396293401,5.490374751,4.01E-08,1.86E-07
K00065,16.06129158,8.168496246,1.328107261,6.15047932,7.72E-10,4.63E-09
K00066,1.216006546,1.303677194,2.23862161,0.582357102,0.56032617,0.68499204
K00067,370.2921782,4.536681936,0.69268445,6.549420792,5.78E-11,4.36E-10
K00068,12.36974582,3.021067762,1.340064918,2.254418962,0.024169823,0.039524819
K00073,33.85740527,-2.749782651,1.368233804,-2.009731555,0.044459608,0.069743238
K00074,36.30783965,8.264221756,1.307891825,6.318734927,2.64E-10,1.75E-09
K00075,376.2787713,0.60999717,0.089845048,6.789435599,1.13E-11,9.67E-11
K00076,48.63094412,9.032575506,1.639898425,5.508009136,3.63E-08,1.70E-07
K00077,152.1253365,3.015462342,0.596106706,5.0585949,4.22E-07,1.67E-06
K00078,45.72249277,8.997130179,1.463990648,6.145619981,7.97E-10,4.77E-09
K00087,9.2206191,6.077277915,1.446667306,4.200881495,2.66E-05,7.49E-05
K00088,378.1670062,0.308988088,0.097625191,3.16504464,0.001550592,0.003108788
K00090,4.668792716,0,6.006310083,0,1,1
K00091,13.18991799,5.117120448,1.476153952,3.466522202,0.000527238,0.001146463
K00096,36.07249501,7.911547264,1.412828254,5.599794058,2.15E-08,1.04E-07
K00097,134.6252301,9.644846624,1.623560771,5.940551653,2.84E-09,1.55E-08
K00099,291.4447147,7.789952492,0.613708938,12.69323616,6.45E-37,1.20E-34
K00100,13.36015407,-4.886513213,1.489525938,-3.280582826,0.001035928,0.002134514
K00104,30.96876595,5.59645569,1.045693597,5.351907775,8.70E-08,3.81E-07
K00105,3.52827062,-7.19700137,4.267698264,-1.68638946,NA,NA
K00108,7.762862459,-1.423094133,5.976757548,-0.238104712,0.81179988,0.924669242
K00111,184.9516985,0.735643725,0.606557717,1.212817352,0.22519966,0.309867455
K00112,86.56282646,9.095271272,1.457906203,6.238584658,4.42E-10,2.77E-09
K00113,86.08028898,8.963356507,1.605535653,5.582782601,2.37E-08,1.14E-07
K00116,24.29895707,-4.886015546,2.370750619,-2.060957195,0.039307124,0.062209649
K00121,11.21035003,-0.626777607,6.005718031,-0.104363476,0.916880907,0.998457418
K00123,7.965485714,0.571378756,1.702105784,0.335689334,0.73710515,0.869133503
K00124,5.463092935,3.827187699,1.588966736,2.408601522,0.016013772,0.026760269
K00125,11.19006151,5.843737455,1.395125185,4.188683221,2.81E-05,7.84E-05
K00127,0.962197216,0,2.754043608,0,1,1
K00128,6.928410214,-2.560686707,5.565518337,-0.460098512,0.645445512,0.774913731
K00130,7.219979585,-1.423094133,5.976757548,-0.238104712,0.81179988,0.924669242
K00132,6.929270026,-3.003545081,1.366543202,-2.197914472,NA,NA
K00133,364.3348017,0.530812417,0.118899246,4.464388431,8.03E-06,2.48E-05
K00134,426.6494,0.374091944,0.094300024,3.967039758,7.28E-05,0.000189001
K00135,18.38080228,-4.258213364,5.838066173,-0.72938765,0.46576457,0.592323737
K00138,14.1261105,-3.716499392,4.889757635,-0.760057997,0.447219918,0.57473594
K00140,14.96046274,3.550675724,1.071395789,3.314065411,0.0009195,0.001910989
K00145,264.9342719,3.368395653,0.822945444,4.093097153,NA,NA
K00147,183.669971,-0.515824175,0.291095902,-1.772007682,0.076393282,0.113934964
K00148,3.084396779,-3.416085059,5.914985266,-0.577530612,0.563581066,0.688559294
K00150,2.836101003,2.839818699,1.743075506,1.629200048,0.103270677,0.150990889
K00154,5.537405314,0,6.006310083,0,1,1
K00156,3.829629969,6.851683348,1.629799979,4.204002599,2.62E-05,7.41E-05
K00158,26.83199774,0.058450337,1.336554225,0.043732111,0.965117943,1
K00161,16.59484146,-1.279283842,1.226584593,-1.042964219,0.296964865,0.397769452
K00162,1.13146685,3.832669561,1.907049866,2.009737464,0.044458983,0.069743238
K00163,5.564368139,-0.626777607,6.005718031,-0.104363476,0.916880907,0.998457418
K00164,7.515799101,6.785380542,2.113660995,3.210250158,0.001326195,0.002694575
K00167,8.564678251,-2.082695776,3.258177399,-0.639221111,0.522679101,0.648274321
K00169,60.96422551,8.738025543,1.364335181,6.404603256,1.51E-10,1.05E-09
K00170,40.20824352,8.04096788,1.350899328,5.952307262,2.64E-09,1.45E-08
K00171,40.00555094,8.161851214,1.36531782,5.977986293,2.26E-09,1.25E-08
K00172,59.84600297,8.658265868,1.362841208,6.35309955,2.11E-10,1.43E-09
K00174,340.4158873,9.137700404,1.131040248,8.0790232,6.53E-16,1.29E-14
K00175,324.7242687,9.869128338,1.333981074,7.398252142,1.38E-13,1.68E-12
K00176,183.2507367,9.994295459,1.267786454,7.883264117,3.19E-15,5.30E-14
K00177,167.9330907,10.07773897,1.271994783,7.922783258,2.32E-15,4.01E-14
K00179,123.3758675,9.444793664,1.21397603,7.780049552,7.25E-15,1.11E-13
K00180,131.2549631,9.451915366,1.214928111,7.779814523,7.26E-15,1.11E-13
K00184,9.87884269,7.144763766,1.366812336,5.227318761,1.72E-07,7.20E-07
K00185,7.995096146,6.683654403,1.378307784,4.849174095,1.24E-06,4.47E-06
K00194,9.972765496,6.119303065,1.52811295,4.004483481,6.22E-05,0.000163502
K00196,1.4173587,1.303677731,2.046362526,0.637070761,0.524078753,0.649419201
K00197,9.601150835,5.953827172,1.52235155,3.910941051,9.19E-05,0.000233441
K00198,21.79971181,7.324098696,1.47737477,4.957508984,7.14E-07,2.71E-06
K00208,97.71407283,2.359924286,0.727912146,3.242045484,0.001186751,0.00243058
K00209,8.832086311,5.133536556,1.529317004,3.356751114,0.000788641,0.001662694
K00215,361.2866069,0.492937619,0.125230698,3.936236287,8.28E-05,0.000212139
K00219,13.56469021,3.751111188,1.493820724,2.511085251,0.012036063,0.020527086
K00226,10.06082415,-2.075275214,1.5342248,-1.352653936,0.176166213,0.248076982
K00228,8.713088808,-0.626777607,6.005718031,-0.104363476,0.916880907,0.998457418
K00230,5.619322797,3.261432052,1.623182296,2.009282666,0.044507165,0.069791059
K00231,9.960221694,-2.873204551,1.559291708,-1.842634407,0.065382407,0.099361814
K00239,185.1567603,6.575799904,0.665787478,9.876725109,5.25E-23,3.77E-21
K00240,196.6187004,6.68496511,0.676333033,9.884132202,4.88E-23,3.56E-21
K00241,182.211466,6.097438743,0.988945986,6.165593299,7.02E-10,4.24E-09
K00242,6.134213838,-1.423094133,5.976757548,-0.238104712,0.81179988,0.924669242
K00243,208.7007043,-0.514131718,0.212550591,-2.418867506,0.01556891,0.026105703
K00244,107.6043155,-1.882132689,0.564536061,-3.333945905,0.000856233,0.001791341
K00245,1.477669165,0,1.975998578,0,1,1
K00246,1.426084117,0,2.124469547,0,1,1
K00248,113.1880468,10.21204601,1.270763241,8.036151568,9.27E-16,1.75E-14
K00249,143.7125199,8.575880214,1.099649168,7.798742054,6.25E-15,9.68E-14
K00252,4.885945865,0,6.006310083,0,1,1
K00254,40.0689513,8.678635997,1.344921578,6.452893716,1.10E-10,7.86E-10
K00259,83.1440259,1.021769224,0.936397248,1.091170683,NA,NA
K00260,17.0946384,-3.711523622,3.719631867,-0.997820149,0.318366578,0.422971261
K00261,2.009780931,2.172576031,1.748027482,1.242872926,0.213914664,0.296133812
K00262,469.5976358,0.647498942,0.156539692,4.136324368,3.53E-05,9.66E-05
K00263,7.615542041,-3.415966337,4.199235207,-0.813473447,0.415946664,0.539635025
K00265,152.703378,2.732880408,0.83830785,3.259996203,NA,NA
K00266,397.3656045,3.89391924,0.814113016,4.783020496,NA,NA
K00275,34.02757733,2.848723292,1.173762221,2.427002029,0.015224171,0.025569601
K00278,209.2238982,10.61727065,1.227248412,8.651280827,5.09E-18,1.61E-16
K00281,21.21602994,7.516648246,1.457825937,5.156067028,2.52E-07,1.03E-06
K00282,137.6367476,5.604536215,0.848290921,6.606856299,3.93E-11,3.06E-10
K00283,138.1775195,5.902362376,0.889537456,6.635316291,3.24E-11,2.56E-10
K00285,9.928894723,0,3.359729923,0,1,1
K00286,307.8224246,0.209708012,0.118585086,1.768418091,0.076991034,0.114742745
K00287,355.2704584,0.448671784,0.124401625,3.606639255,0.000310188,0.000701743
K00290,187.868492,10.27388589,1.244029573,8.25855439,1.47E-16,3.28E-15
K00294,20.34494758,0.088291962,1.063884214,0.082990199,0.933859333,1
K00297,204.3879482,9.619440637,1.195199469,8.04839768,8.39E-16,1.62E-14
K00298,2.540635532,3.331787479,1.994753055,1.670275661,0.094864836,0.139800811
K00299,9.805828871,-3.238359961,4.140244519,-0.782166354,0.434116815,0.560717074
K00303,3.65308202,4.155895107,1.868305982,2.224418884,0.026120275,0.042406546
K00311,2.71441437,0,6.006310083,0,1,1
K00313,1.553203127,3.534758855,1.737252177,2.034683797,0.0418827,0.06600481
K00318,1.979295051,0,1.775229066,0,1,1
K00322,5.103099015,0,6.006310083,0,1,1
K00324,19.10699764,7.481836787,1.532297494,4.882757309,1.05E-06,3.82E-06
K00325,18.0754316,7.621578756,1.560658407,4.88356627,1.04E-06,3.81E-06
K00330,150.7437351,8.90473547,1.430539328,6.224740065,4.82E-10,3.00E-09
K00331,140.7587094,9.913194077,1.406274964,7.049257313,1.80E-12,1.86E-11
K00333,2.263228499,6.978488799,5.892914104,1.184216956,0.236327192,0.322680548
K00334,64.40470386,7.818940666,1.3340062,5.861247622,4.59E-09,2.41E-08
K00335,56.43877859,8.902176275,1.315120755,6.769094201,1.30E-11,1.09E-10
K00337,149.3785047,9.877360096,1.436906608,6.87404459,6.24E-12,5.66E-11
K00338,112.6895195,9.606215388,1.61371854,5.952844409,2.64E-09,1.45E-08
K00339,49.84468561,8.616506306,1.547468448,5.568130528,2.57E-08,1.23E-07
K00340,151.5305515,9.747767902,1.438021401,6.778597242,1.21E-11,1.04E-10
K00341,143.1310514,8.958512507,1.432534479,6.253610393,4.01E-10,2.54E-09
