"diversity_shannon","observed","chao1","PD","SR","sampleID","seqID","Mouse","Treatment","Diet","Cage","Desc","Day","Rec_day","Rec_day_adj","Sac.group","Aim","Cohort","reads.in","reads.out","nseqs","seq_run","Abx","Post.diet","Post.micr","Pre.diet"
1.94945063090105,65,65,8.093502068,65,"HF6956","MMF.16S.205_HF6956","1634","WD-MICR","WD","23","rec-wk4",83,31,28,NA,"A2","C2",27403,22330,18835,"Feb_2022","ABX","WD","RC","WD"
2.84220909229012,113,113.333333333333,11.704079447,113,"HF6975","MMF.16S.205_HF6975","1632.NT","WD-DIET","WD","22","rec-wk4",83,31,28,NA,"A2","C2",41821,35730,26477,"Feb_2022","ABX","RC","WD","WD"
2.00537757474085,36,36,5.591545144,36,"HF6994","MMF.16S.205_HF6994","1633","WD-WD","WD","21","rec-wk4",83,31,28,NA,"A2","C2",12211,10171,8973,"Feb_2022","ABX","WD","WD","WD"
1.56333799831797,12,12,2.831873473,12,"HF7013","MMF.16S.205_HF7013","1643","WD-ABX-PBS","WD","20","rec-wk4",84,32,28,NA,"A2","C2",2351,2024,1920,"Feb_2022","ABX","WD","PBS","WD"
2.53106295285153,100,100.5,10.454824585,100,"HF7032","MMF.16S.205_HF7032","1642","WD-PBS-PBS","WD","19","rec-wk4",84,32,28,NA,"A2","C2",56335,46805,37414,"Feb_2022","PBS","WD","PBS","WD"
1.63576315494618,18,18,4.057224837,18,"HF7051","MMF.16S.205_HF7051","1640","RC-WD","RC","18","rec-wk4",84,32,28,NA,"A2","C2",8266,6247,4921,"Feb_2022","ABX","WD","WD","RC"
3.26282408556824,185,192,14.703325883,185,"HF7070","MMF.16S.205_HF7070","1624","RC-MICR","RC","17","rec-wk4",84,32,28,NA,"A2","C2",287848,191083,150945,"Feb_2022","ABX","RC","WD","RC"
1.44619555349384,59,59,8.052479904,59,"HF7089","MMF.16S.205_HF7089","1644","RC-DIET","RC","16","rec-wk4",84,32,28,NA,"A2","C2",89462,61546,53706,"Feb_2022","ABX","WD","RC","RC"
2.16422521900191,83,83,9.149602427,83,"HF7108","MMF.16S.205_HF7108","1638","RC-RC","RC","15","rec-wk4",84,32,28,NA,"A2","C2",30319,25179,20368,"Feb_2022","ABX","RC","RC","RC"
2.54517498033412,49,49,4.926048454,49,"HF7127","MMF.16S.205_HF7127","1622","RC-ABX-PBS","RC","14","rec-wk4",84,32,28,NA,"A2","C2",50883,43869,34737,"Feb_2022","ABX","RC","PBS","RC"
2.52769428308933,78,78,9.255400271,78,"HF7146","MMF.16S.205_HF7146","1623","RC-PBS-PBS","RC","13","rec-wk4",84,32,28,NA,"A2","C2",41001,33788,25852,"Feb_2022","PBS","RC","PBS","RC"
1.67483984138635,15,15,2.493491202,15,"HF5699","MMF.16S.210_HF5699","1682","RC-RC","RC","27","post-abx",52,0,0,NA,"A2","C3",22496,18457,16132,"Mar_2022","ABX","RC","RC","RC"
1.5721525145638,33,33,5.861877702,33,"HF5700","MMF.16S.210_HF5700","1677","RC-RC","RC","27","post-abx",52,0,0,NA,"A2","C3",5972,4641,4287,"Mar_2022","ABX","RC","RC","RC"
0.834267466120167,6,6,1.521126456,6,"HF5701","MMF.16S.210_HF5701","1681","RC-DIET","RC","28","post-abx",52,0,0,NA,"A2","C3",4010,3493,3372,"Mar_2022","ABX","WD","RC","RC"
1.84464857259645,40,40,5.508547455,40,"HF5705","MMF.16S.210_HF5705","2592","RC-WD","RC","30","post-abx",52,0,0,NA,"A2","C3",18802,16233,15537,"Mar_2022","ABX","WD","WD","RC"
1.60910564467462,19,19,4.392684079,19,"HF5707","MMF.16S.210_HF5707","1688","WD-PBS-PBS","WD","31","post-abx",52,0,0,NA,"A2","C3",11650,10007,8515,"Mar_2022","PBS","WD","PBS","WD"
1.8996702373588,81,81,9.572911499,81,"HF5708","MMF.16S.210_HF5708","1690","WD-PBS-PBS","WD","31","post-abx",52,0,0,NA,"A2","C3",27708,23216,18707,"Mar_2022","PBS","WD","PBS","WD"
0.397543399458062,5,5,1.871593895,5,"HF5709","MMF.16S.210_HF5709","1691","WD-ABX-PBS","WD","32","post-abx",52,0,0,NA,"A2","C3",7253,6621,6476,"Mar_2022","ABX","WD","PBS","WD"
0.0776190227396202,5,5,1.683427248,5,"HF5710","MMF.16S.210_HF5710","1696","WD-ABX-PBS","WD","32","post-abx",52,0,0,NA,"A2","C3",13609,12629,12574,"Mar_2022","ABX","WD","PBS","WD"
0.438094574841353,12,12,3.914825272,12,"HF5711","MMF.16S.210_HF5711","1694","WD-WD","WD","33","post-abx",52,0,0,NA,"A2","C3",20343,18004,17758,"Mar_2022","ABX","WD","WD","WD"
0.194966281309299,7,7,2.413878224,7,"HF5712","MMF.16S.210_HF5712","1698","WD-WD","WD","33","post-abx",52,0,0,NA,"A2","C3",10232,8562,8462,"Mar_2022","ABX","WD","WD","WD"
0.387834377062022,12,12,2.593661273,12,"HF5713","MMF.16S.210_HF5713","1693","WD-DIET","WD","34","post-abx",52,0,0,NA,"A2","C3",39632,35321,34627,"Mar_2022","ABX","RC","WD","WD"
0.0520163375387812,7,7,2.27188338,7,"HF5714","MMF.16S.210_HF5714","1697","WD-DIET","WD","34","post-abx",52,0,0,NA,"A2","C3",18748,17379,17275,"Mar_2022","ABX","RC","WD","WD"
0.154681228192356,7,7,2.336167786,7,"HF5715","MMF.16S.210_HF5715","1692","WD-MICR","WD","35","post-abx",52,0,0,NA,"A2","C3",24479,21585,21417,"Mar_2022","ABX","WD","RC","WD"
0.0373943114671914,6,6,2.090263922,6,"HF5716","MMF.16S.210_HF5716","2595","WD-MICR","WD","35","post-abx",52,0,0,NA,"A2","C3",21364,19579,19519,"Mar_2022","ABX","WD","RC","WD"
0.13943163405115,10,10,2.52814487,10,"HF5717","MMF.16S.210_HF5717","1686","WD-RC","WD","36","post-abx",52,0,0,NA,"A2","C3",20752,18888,18802,"Mar_2022","ABX","RC","RC","WD"
0.354693042779992,14,14,2.968994426,14,"HF5718","MMF.16S.210_HF5718","1689","WD-RC","WD","36","post-abx",52,0,0,NA,"A2","C3",34593,31443,30700,"Mar_2022","ABX","RC","RC","WD"
2.14981784649209,53,53,7.113927747,53,"HF5765","MMF.16S.210_HF5765","1679","RC-PBS-PBS","RC","25","rec-wk2",66,14,14,NA,"A2","C3",14108,10460,9560,"Mar_2022","PBS","RC","PBS","RC"
2.53799853159334,98,98,10.599079504,98,"HF5766","MMF.16S.210_HF5766","1678","RC-PBS-PBS","RC","25","rec-wk2",66,14,14,NA,"A2","C3",42140,32147,27831,"Mar_2022","PBS","RC","PBS","RC"
0.896956807227761,8,8,1.418264399,8,"HF5767","MMF.16S.210_HF5767","1685","RC-ABX-PBS","RC","26","rec-wk2",66,14,14,NA,"A2","C3",9908,8517,7216,"Mar_2022","ABX","RC","PBS","RC"
3.85614972167422,151,151.5,11.473846537,151,"HF5768","MMF.16S.210_HF5768","1676","RC-RC","RC","27","rec-wk2",66,14,14,NA,"A2","C3",25514,21708,17106,"Mar_2022","ABX","RC","RC","RC"
2.35762474764841,52,52,6.846809199,52,"HF5769","MMF.16S.210_HF5769","1682","RC-RC","RC","27","rec-wk2",66,14,14,NA,"A2","C3",10919,8754,7452,"Mar_2022","ABX","RC","RC","RC"
3.92278091123269,152,152.5,11.370596967,152,"HF5770","MMF.16S.210_HF5770","1677","RC-RC","RC","27","rec-wk2",66,14,14,NA,"A2","C3",30308,24861,19556,"Mar_2022","ABX","RC","RC","RC"
0.555714833120026,7,7,1.811018412,7,"HF5771","MMF.16S.210_HF5771","1681","RC-DIET","RC","28","rec-wk2",66,14,14,NA,"A2","C3",44755,40699,39643,"Mar_2022","ABX","WD","RC","RC"
