KO,s211004_MEGANKENNEDYHF10_SORTED,s211004_MEGANKENNEDYHF11_SORTED,s211004_MEGANKENNEDYHF12_SORTED,s211004_MEGANKENNEDYHF13_SORTED,s211004_MEGANKENNEDYHF14_SORTED,s211004_MEGANKENNEDYHF15_SORTED,s211004_MEGANKENNEDYHF16_SORTED,s211004_MEGANKENNEDYHF17_SORTED,s211004_MEGANKENNEDYHF189_SORTED,s211004_MEGANKENNEDYHF18_SORTED,s211004_MEGANKENNEDYHF19_SORTED,s211004_MEGANKENNEDYHF1_SORTED,s211004_MEGANKENNEDYHF20_SORTED,s211004_MEGANKENNEDYHF21_SORTED,s211004_MEGANKENNEDYHF22_SORTED,s211004_MEGANKENNEDYHF23_SORTED,s211004_MEGANKENNEDYHF24_SORTED,s211004_MEGANKENNEDYHF2_SORTED,s211004_MEGANKENNEDYHF3_SORTED,s211004_MEGANKENNEDYHF4_SORTED,s211004_MEGANKENNEDYHF5_SORTED,s211004_MEGANKENNEDYHF6_SORTED,s211004_MEGANKENNEDYHF7_SORTED,s211004_MEGANKENNEDYHF8_SORTED,s230228_MEGAN_HF1125_SORTED,s230228_MEGAN_HF1129_SORTED,s230228_MEGAN_HF1210_SORTED,s230228_MEGAN_HF1213_SORTED,s230228_MEGAN_HF1258_SORTED,s230228_MEGAN_HF1379_SORTED,s230228_MEGAN_HF1382_SORTED,s230228_MEGAN_HF151_SORTED,s230228_MEGAN_HF181_SORTED,s230228_MEGAN_HF187_SORTED,s230228_MEGAN_HF217_SORTED,s230228_MEGAN_HF223_SORTED,s230228_MEGAN_HF3022_SORTED,s230228_MEGAN_HF3060_SORTED,s230228_MEGAN_HF453_SORTED,s230228_MEGAN_HF459_SORTED,s230228_MEGAN_HF497_SORTED,s230228_MEGAN_HF499_SORTED,s230228_MEGAN_HF515_SORTED,s230228_MEGAN_HF561_SORTED,s230228_MEGAN_HF563_SORTED,s230228_MEGAN_HF596_SORTED,s230228_MEGAN_HF597_SORTED,s230228_MEGAN_HF73_SORTED,s230228_MEGAN_HF79_SORTED,s230228_MEGAN_HF97_SORTED
K22310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343537415,0,0,0,0,0,0,0,0,0,0,0,0,9.112244898,0,0,0,0,0,0
K22317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.399004975,0.51840796,0,0,0,1.127363184,0,0,0,0,0,0,1.36318408,1.138308458,0.611940299,0,0,0,0,0,0.300497512,0,0,0,0,0
K22320,0,0.895088155,1.008249674,2.203964436,1.679965177,3.257393926,2.244683057,1.403938826,0,4.168458486,0.027997887,2.189079533,0,0.836440745,0.792350586,0.891995876,0.425779186,0.8309823,4.282079394,1.340654543,3.236344416,0.886436017,0.655740534,0.337319331,0.738048523,1.027108434,0,0,0,0,0,0,4.260347562,0,6.773212797,13.38653374,0.151606426,1.735943775,1.396084337,0,0,0,0,0,0,0,0.084505865,0,0,0
K22330,0,0,0,0,0,0,0,0,252.5802469,0,0,1.090177134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.1604938,8.655394525,0,137.2716049,0,5.432098765,0,9.181427805,0.162104133,0,0,0,0.323671498,0,0,337.886205,0,0,0,0
K22348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.227407407,0,0,0,0,0,0,0,0,0,0,0,0,9.498518519,0,0,0,0,0,0
K22349,0.289163651,2.636691992,1.512006504,2.999451303,0,0,7.044237678,4.052598514,0,28.31219304,0.129766804,8.49218107,0.292455418,0.262462681,0,0,0,0.081140351,0,3.47423201,10.57484946,6.364525908,0.351440329,0.081207133,2.718926685,1.679039781,0,0,0,1.202352941,0,0,0.999451303,0,2.001097394,15.22909881,1.800100512,4.199962317,0.321176471,1.130567436,0,0,0,0,0.709411765,0,0.747005289,0,0,0
K22372,0.026897774,2.210021655,1.310306454,1.892125086,2.007683715,4.759933526,1.387518823,1.115202326,0,9.124958682,1.154483668,0.795509074,0.857587746,0.850466626,0.632755123,0.512375735,1.080908906,1.97798932,1.461622524,4.017111226,1.100207181,3.791640622,4.334644816,3.23788791,1.427765971,0.515209102,0,0,0,0.033297261,0,0,0.914351191,0,0.753840615,0,0.051441938,0,0.425289105,1.429361465,0,0,0,0,0.629240311,0,1.927002478,0,0,0
K22373,0.848370584,48.16038903,58.41931437,36.65810764,37.75477428,43.51449424,36.28480154,28.56726584,240.0610168,77.16565054,65.7446585,52.11527955,26.88110292,103.1202925,123.1379589,119.5511625,94.49693558,44.79964797,47.28934558,39.88792337,73.57906499,50.30014578,32.29875814,56.65902226,38.36987231,77.60232578,0,0.128504673,0,31.78996283,0,7.077647059,34.96270149,130.2906799,37.54813003,28.06140458,55.46593015,7.733740315,108.6324505,24.48542839,0,0.12694704,0,0,97.82490789,8.292834891,13.62839535,0,0.235202492,0
K22390,1.244199026,18.39226884,20.91051215,20.21270308,12.17892125,15.67137043,22.30707644,17.78211925,0,34.71560657,4.796288164,20.32519539,1.187726773,5.02950384,8.319255194,5.337260154,5.951391133,19.0324821,11.55263341,22.42513554,15.64398755,20.8261751,23.74627499,17.54021376,14.37020057,0.627411063,0,0,0,0.523712282,0,0,5.9985316,0,11.69036345,1.385533184,3.191497554,0,1.61269753,11.4907308,0,92.4604012,4.388446256,0.083749307,5.739911506,0,12.54499173,12.31203662,0,4.232708862
K22391,10.11135863,306.9251463,322.3284183,312.0910606,296.8482248,335.678794,395.4035532,309.3783648,523.3111166,619.3608147,298.0832501,370.9812047,133.7348896,242.0959204,241.9920462,219.2846061,266.6942253,411.2069902,318.2562223,371.3024797,302.1858276,335.647769,380.6802644,302.4707375,281.5026614,198.6128148,0,188.1434109,490.5326002,334.8785682,425.7952318,199.2446363,138.5472415,265.3939738,161.7790064,121.1202999,259.6341096,60.23185819,169.7998147,339.5839018,295.6511628,66.35683975,406.6288139,302.0093232,232.7376626,469.2681665,316.9204674,5.852777778,328.4431525,165.0643369
K22393,0.548148148,16.10560728,15.85357956,30.64928616,29.77629837,14.75573143,5.139840679,22.81401821,0,15.28351955,0.854748603,13.50251397,0,0,0,0,0,18.72711566,17.8475688,12.56858059,23.70082764,28.98937513,17.60794538,3.567835713,25.17263604,41.05586592,0,0,0,16.07592593,0,0,0,0,0,0,47.30555556,0,26.39478585,38.21238361,0,0.163873371,0,0,37.68156425,0,31.79515829,0,0,0.562383613
K22394,0.533333333,19.70037907,14.96305814,24.27404125,27.83543544,10.24124452,5.384955447,24.3963767,0,13.68443854,0.679279279,12.61724019,0,0,0,0,0,11.11940137,18.91830847,19.73323487,25.02548122,22.02994142,13.30383498,8.725062768,17.13888643,39.72538768,0,0,0,17.13479053,0,0,0,0,0,0,60.44808743,0,26.4954955,42.47216069,0,0.544144144,0,0,45.25225225,0,41.2036036,0,0,0
K22397,0.021468927,6.798426387,13.79542688,10.83551533,11.3246413,11.51111026,15.91360209,18.75405773,0,26.67611536,11.44219173,10.35441559,5.334217689,9.585237544,6.930807644,8.564399815,8.2571152,10.60361577,3.273809336,11.8577294,18.89872765,7.7123708,10.59987411,8.883154082,17.85478738,10.14223328,0,0,0,6.604301909,0,0,6.211167228,0,101.0048618,19.39601082,17.89393782,3.288590604,9.584117278,18.57569841,0,0,0,0,4.146339869,0,12.31211624,0,0,0
K22405,6.952373298,218.4086865,168.8933945,248.2487005,214.6197514,249.7211628,266.8604516,193.3159446,58.97666114,505.076176,254.4344663,284.6912495,109.4057596,216.6900944,232.2044249,203.679423,224.5505338,237.0456638,263.1348123,248.1425613,258.6190454,215.8538977,283.3342011,233.9928444,170.7504117,76.16037806,0,0,0,144.7464777,0,0,179.958231,31.20219628,209.9653879,300.8610595,163.0547868,76.69199736,85.4685482,135.9591737,0,0,0,0,74.90985967,0,152.6861014,0.358674318,0,0
K22409,0,0,0,0,0,0,0,0,0,0.609876543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249382716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.20017105,2.406061282,0,0,0,0,2.095061728,0,1.712345679
