Substrate,EC
alpha-galactoside,3.2.1.22
alpha-galactoside,3.2.1.22
alpha-galactoside,3.2.1.22
alpha-galactoside,3.2.1.22
alpha-galactoside,3.2.1.22
alpha-galactoside,3.2.1.22
raffinose family oligosaccharide (plant),2.4.1.-
raffinose family oligosaccharide (plant),2.4.1.82
raffinose family oligosaccharide (plant),2.4.1.67
