SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST1506,70,6511,6183045,t=96,ile-L,ile-L,ile-L,2.66E+08,6,6,WD-PBS-INF,WD,PBS,INF,96
ST1506,70,6511,6183045,t=96,liv,liv,liv,3563596,6,6,WD-PBS-INF,WD,PBS,INF,96
ST1506,70,6511,6183045,t=96,MLN,MLN,MLN,6271044,6,6,WD-PBS-INF,WD,PBS,INF,96
ST1506,70,6511,6183045,t=96,spl,spl,spl,99321705,6,6,WD-PBS-INF,WD,PBS,INF,96
ST1447,66,6512,6183046,t=6,fecal,fecal,fecal,129032.3,6,6,RC-ABX-INF,RC,ABX,INF,6
ST1459,66,6512,6183046,t=12,fecal,fecal,fecal,11363.64,6,6,RC-ABX-INF,RC,ABX,INF,12
ST1471,67,6512,6183046,t=24,fecal,fecal,fecal,156250,6,6,RC-ABX-INF,RC,ABX,INF,24
ST1483,68,6512,6183046,t=48,fecal,fecal,fecal,35377.36,6,6,RC-ABX-INF,RC,ABX,INF,48
ST1495,69,6512,6183046,t=72,fecal,fecal,fecal,0,6,6,RC-ABX-INF,RC,ABX,INF,72
ST1507,70,6512,6183046,t=96,cec-L,cec-L,cec-L,1145.738,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1507,70,6512,6183046,t=96,col-L,fecal,fecal,0,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1507,70,6512,6183046,t=96,ile-L,ile-L,ile-L,0,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1507,70,6512,6183046,t=96,liv,liv,liv,0,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1507,70,6512,6183046,t=96,MLN,MLN,MLN,0,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1507,70,6512,6183046,t=96,spl,spl,spl,0,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1448,66,6513,6183046,t=6,fecal,fecal,fecal,24350.65,6,6,RC-ABX-INF,RC,ABX,INF,6
ST1460,66,6513,6183046,t=12,fecal,fecal,fecal,35714.29,6,6,RC-ABX-INF,RC,ABX,INF,12
ST1472,67,6513,6183046,t=24,fecal,fecal,fecal,312500,6,6,RC-ABX-INF,RC,ABX,INF,24
ST1484,68,6513,6183046,t=48,fecal,fecal,fecal,15120.97,6,6,RC-ABX-INF,RC,ABX,INF,48
ST1496,69,6513,6183046,t=72,fecal,fecal,fecal,163216.6,6,6,RC-ABX-INF,RC,ABX,INF,72
ST1508,70,6513,6183046,t=96,cec-L,cec-L,cec-L,1340180,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1508,70,6513,6183046,t=96,col-L,fecal,fecal,1442308,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1508,70,6513,6183046,t=96,ile-L,ile-L,ile-L,64964.16,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1508,70,6513,6183046,t=96,liv,liv,liv,1159502,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1508,70,6513,6183046,t=96,MLN,MLN,MLN,233209,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1508,70,6513,6183046,t=96,spl,spl,spl,33656958,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1449,66,6514,6183046,t=6,fecal,fecal,fecal,195446.7,6,6,RC-ABX-INF,RC,ABX,INF,6
ST1461,66,6514,6183046,t=12,fecal,fecal,fecal,102272.7,6,6,RC-ABX-INF,RC,ABX,INF,12
ST1473,67,6514,6183046,t=24,fecal,fecal,fecal,873983.7,6,6,RC-ABX-INF,RC,ABX,INF,24
ST1485,68,6514,6183046,t=48,fecal,fecal,fecal,70754.72,6,6,RC-ABX-INF,RC,ABX,INF,48
ST1497,69,6514,6183046,t=72,fecal,fecal,fecal,907622.7,6,6,RC-ABX-INF,RC,ABX,INF,72
ST1509,70,6514,6183046,t=96,cec-L,cec-L,cec-L,1131306,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1509,70,6514,6183046,t=96,col-L,fecal,fecal,933257.9,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1509,70,6514,6183046,t=96,ile-L,ile-L,ile-L,1139201,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1509,70,6514,6183046,t=96,liv,liv,liv,373277.2,6,6,RC-ABX-INF,RC,ABX,INF,96
ST1509,70,6514,6183046,t=96,MLN,MLN,MLN,14821429,6,6,RC-ABX-INF,RC,ABX,INF,96
